Animale,Autorul anunțului,Balcon/ lojie,Compartimentare,Copii,Dezvoltator,Etaj,Fond locativ,Grup sanitar,Inălțimea tavanelor,Living,Loc de parcare,Număr de camere,Număr de etaje,Starea apartamentului,Suprafață bucătărie,Suprafață locativă,Suprafață totală,Tip clădire,price,region
,Agenție,1,,,,5,Secundar,2,,,Deschis,Apartament cu 3 camere,5,Reparație cosmetică,,,86 m²,,65 000€,Bălți_Paminteni
,Agenție,,,,,4,Secundar,,,,,Apartament cu 3 camere,9,,,,69 m²,,89 900€,Chișinău_Buiucani
,Agenție,1,Brj (Brejnevka),,,4,Secundar,2,,,Deschis,Apartament cu 3 camere,5,Reparație cosmetică,,,71 m²,Cotileț,96 000€,Chișinău_Râșcani
,Agenție,,,,,9,Construcţii noi,1,,Apartament cu living,,Apartament cu 1 cameră,10,,,,47 m²,,79 900€,Chișinău_Ciocana
,Agenție,Nu,135,,,2,Secundar,,,,Deschis,O cameră,9,Reparație cosmetică,,,21 m²,Panou,24 900€,Chișinău_Ciocana
,Agenție,2,,,,1,Construcţii noi,1,,,,Apartament cu 3 camere,3,Reparație cosmetică,,86 m²,86 m²,,184 500€,Chișinău_Râșcani
,Agenție,,,,,4,Secundar,,,,,O cameră,5,,,,23 m²,,43 500€,Chișinău_Botanica
,Agenție,1,,,,16,Construcţii noi,2,,Apartament cu living,,Apartament cu 4 camere,17,Variantă albă,,,140 m²,,280 000€,Chișinău_Râșcani
,Persoană fizică,1,,,Dansicons,8,Construcţii noi,1,290 cm,Apartament cu living,,Apartament cu 1 cameră,14,Euroreparație,15 m²,,46 m²,,94 900€,Chișinău_Centru
,Agenție,2,Varț (Varnițkaia),,,6,Secundar,2,,,Deschis,Apartament cu 2 camere,9,Euroreparație,,,56 m²,Panou,93 000€,Chișinău_Ciocana
,Dezvoltator imobiliar,1,Individuală,,,5,Construcţii noi,2,,Apartament cu living,,Apartament cu 3 camere,9,Variantă albă,,,85 m²,Cărămidă,107 000€,Chișinău_Durlești
,Persoană fizică,,,,Basconslux,6,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,14,Euroreparație,,,60 m²,Beton celular,147 900€,Chișinău_Buiucani
,Agenție,1,,,,4,Construcţii noi,1,,,,Apartament cu 1 cameră,10,Variantă albă,,,47 m²,,94 000€,Chișinău_Centru
,Agenție,1,,,,4,Secundar,1,0 cm,Apartament cu living,,Apartament cu 2 camere,5,,0 m²,60 m²,60 m²,Cotileț,83 500€,Chișinău_Buiucani
,Persoană fizică,1,143,,,3,Secundar,1,0 cm,Apartament cu living,Deschis,Apartament cu 1 cameră,4,Euroreparație,13 m²,29 m²,42 m²,Cotileț,45 000€,Căușeni_Periferie
,Persoană fizică,1,,,,6,Construcţii noi,1,,Apartament cu living,Subterană,Apartament cu 1 cameră,9,Variantă albă,,,42 m²,Cărămidă,54 200€,Chișinău_Telecentru
,Agenție,,,,,Penthouse,Construcţii noi,,,Apartament cu living,,Apartament cu 3 camere,10,Euroreparație,,,100 m²,,325 000€,Chișinău_Centru
Fără animale,Persoană fizică,1,,Cu acordul stăpânului,,4,Secundar,,,,Deschis,Apartament cu 2 camere,4,,,,72 m²,,690€,Chișinău_Durlești
,Agenție,,,,,2,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 2 camere,9,Euroreparație,,,92 m²,,149 900€,Chișinău_Buiucani
,Agenție,,,,Dansicons,6,Construcţii noi,2,,Apartament cu living,,Apartament cu 3 camere,9,Euroreparație,,,83 m²,,173 000€,Chișinău_Ciocana
,Agenție,2,Individuală,,,9,Construcţii noi,2,,,Deschis,Apartament cu 2 camere,10,Euroreparație,,,74 m²,Cotileț,134 900€,Chișinău_Telecentru
,Dezvoltator imobiliar,,,,,Demisol,Construcţii noi,1,,Apartament cu living,,Apartament cu 1 cameră,7,Euroreparație,25 m²,,37 m²,,69 900€,Chișinău_Durlești
,Dezvoltator imobiliar,1,,,Exfactor-grup,12,Construcţii noi,1,,,Subterană,Apartament cu 2 camere,12,Euroreparație,,,65 m²,Cărămidă,180 000€,Chișinău_Ciocana
,Agenție,1,Individuală,,,5,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,8,Variantă albă,,,47 m²,,47 000€,Ialoveni_Centru
,Agenție,1,,,Exfactor-grup,6,Construcţii noi,1,,Apartament cu living,,Apartament cu 2 camere,9,Euroreparație,,,50 m²,,135 000€,Chișinău_Buiucani
,Dezvoltator imobiliar,,,,,1,Secundar,,0 cm,Apartament cu living,,Apartament cu 1 cameră,9,,0 m²,0 m²,34 m²,,66 900€,Chișinău_Ciocana
,Agenție,1,,,Estate Invest Company,2,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,5,Euroreparație,,,50 m²,,225 000€,Chișinău_Centru
,Dezvoltator imobiliar,2,135,,,6,Secundar,2,,,Deschis,Apartament cu 3 camere,9,,8 m²,44 m²,72 m²,Panou,110 000€,Chișinău_Râșcani
,Agenție,1,,,,5,Secundar,1,,,,Apartament cu 2 camere,5,,,,48 m²,,84 900€,Chișinău_Buiucani
,Agenție,1,Individuală,,,8,Secundar,1,,,Deschis,Apartament cu 1 cameră,10,Euroreparație,,,46 m²,Combinat,105 900€,Chișinău_Botanica
,Agenție,1,,,,2,Secundar,1,,Apartament fără living,Deschis,Apartament cu 1 cameră,9,Reparație cosmetică,,,38 m²,,69 900€,Chișinău_Botanica
,Agenție,2,Individuală,,,1,Construcţii noi,1,,,Deschis,Apartament cu 3 camere,4,Euroreparație,,,90 m²,Cotileț,152 500€,Chișinău_Botanica
,Agenție,1,,,,3,Construcţii noi,2,,,Deschis,Apartament cu 3 camere,12,Variantă albă,,,72 m²,,99 175€,Chișinău_Botanica
,Dezvoltator imobiliar,,,,,5,Secundar,,0 cm,,,Apartament cu 1 cameră,5,,0 m²,0 m²,22 m²,,33 900€,Chișinău_Telecentru
,Agenție,,,,,1,Construcţii noi,2,,Apartament cu living,,Apartament cu 2 camere,2,Variantă albă,,,65 m²,,71 500€,Ciorescu_Centru
,Agenție,1,Individuală,,Lagmar Impex,4,Construcţii noi,1,280 cm,Apartament cu living,Deschis,Apartament cu 1 cameră,12,Variantă albă,,,46 m²,Cărămidă,83 265€,Chișinău_Râșcani
,Agenție,2,,,,10,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 3 camere,10,Euroreparație,,118 m²,118 m²,Combinat,259 600€,Chișinău_Râșcani
,Dezvoltator imobiliar,3,143,,,8,Secundar,1,,,,Apartament cu 2 camere,9,,,,60 m²,,95 000€,Chișinău_Botanica
,Agenție,1,,,,5,Secundar,1,,,Sub acoperiș,Apartament cu 1 cameră,5,Euroreparație,,,24 m²,,39 900€,Chișinău_Buiucani
,Agenție,Nu,Individuală,,,1,Secundar,1,,,,Apartament cu 2 camere,5,Reparație cosmetică,,,73 m²,,70 000€,Chișinău_Ciocana
Se acceptă animale,Agenție,1,,Se acceptă copii,,3,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 2 camere,10,Euroreparație,,,69 m²,Combinat,159 900€,Chișinău_Centru
,Dezvoltator imobiliar,,,,,2,Secundar,,,Apartament cu living,,Apartament cu 2 camere,5,,,,51 m²,,99 900€,Chișinău_Râșcani
,Agenție,,,,Estate Invest Company,5,Construcţii noi,,3 cm,Apartament cu living,,Apartament cu 2 camere,6,Variantă albă,,,67 m²,Combinat,90 720€,Dumbrava_Centru
,Dezvoltator imobiliar,1,Individuală,,,1,Construcţii noi,1,2800 cm,,,Apartament cu 2 camere,5,Variantă albă,,59 m²,59 m²,Combinat,53 100€,Orhei_Centru
,Agenție,,,,,3,Construcţii noi,,,,,Apartament cu 3 camere,12,Euroreparație,,,75 m²,,165 000€,Chișinău_Centru
,Persoană fizică,2,Individuală,,,4,Construcţii noi,1,255 cm,Apartament cu living,,Apartament cu 1 cameră,6,Construcție nefinisată,12 m²,17 m²,45 m²,Combinat,71 000€,Chișinău_Aeroport
,Agenție,1,Cş (Ceşka),,,5,Secundar,1,270 cm,Apartament fără living,Deschis,Apartament cu 1 cameră,5,Are nevoie de reparație,,,37 m²,Cotileț,54 500€,Chișinău_Râșcani
,Agenție,1,,,,4,Construcţii noi,1,0 cm,Apartament cu living,Deschis,Apartament cu 2 camere,12,Euroreparație,0 m²,0 m²,85 m²,,165 900€,Chișinău_Botanica
,Dezvoltator imobiliar,1,Individuală,,,5,Construcţii noi,1,,Apartament cu living,Subterană,Apartament cu 1 cameră,16,Variantă albă,,,46 m²,Cărămidă,71 300€,Chișinău_Telecentru
,Persoană fizică,1,Ms (serie  moldovenească),,,3,Secundar,2,,,Deschis,Apartament cu 2 camere,5,,,,47 m²,Cotileț,75 000€,Chișinău_Telecentru
Se acceptă animale,Agenție,1,,Se acceptă copii,,1,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,9,Variantă albă,,,69 m²,,117 300€,Chișinău_Ciocana
,Agenție,,,,,7,Construcţii noi,1,,,,Apartament cu 2 camere,9,Variantă albă,,,62 m²,,62 300€,Ungheni_Centru
,Agenție,2,143,,AMIC,5,Secundar,1,2500 cm,Apartament fără living,Deschis,Apartament cu 2 camere,5,Euroreparație,8 m²,53 m²,53 m²,Panou,38 500€,Taraclia_Periferie
,Agenție,3,,,,8,Construcţii noi,,3 cm,Apartament cu living,Subterană,Apartament cu 3 camere,14,Euroreparație,,,106 m²,,299 000€,Chișinău_Râșcani
,Dezvoltator imobiliar,1,Individuală,,,3,Construcţii noi,1,292 cm,Apartament cu living,Garaj,Apartament cu 1 cameră,8,Variantă albă,11 m²,50 m²,50 m²,Cărămidă,60 000€,Bălți_Autogara
,Persoană fizică,,,,,6,Construcţii noi,1,0 cm,,Deschis,Apartament cu 2 camere,9,Variantă albă,17 m²,0 m²,64 m²,,96 000€,Chișinău_Durlești
,Dezvoltator imobiliar,,Individuală,,,5,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 3 camere,5,Euroreparație,14 m²,103 m²,200 m²,Cotileț,275 000€,Chișinău_Botanica
,Persoană fizică,,,,,4,Secundar,1,,Apartament fără living,Deschis,Apartament cu 2 camere,5,,9 m²,52 m²,52 m²,,45 000€,Bălți_Gara de nord
,Agenție,2,,,,4,Secundar,1,,Apartament cu living,Deschis,Apartament cu 2 camere,5,Reparație cosmetică,,,63 m²,,128 000€,Chișinău_Botanica
,Agenție,1,Brj (Brejnevka),,,2,Secundar,2,,,Deschis,Apartament cu 3 camere,5,Are nevoie de reparație,,,51 m²,Cotileț,77 500€,Chișinău_Botanica
,Agenție,2,,,,5,Construcţii noi,2,,,Subterană,Apartament cu 3 camere,12,Euroreparație,,,100 m²,,318 000€,Chișinău_Râșcani
Se acceptă animale,Persoană fizică,1,,Se acceptă copii,,4,Construcţii noi,1,,,Subterană,Apartament cu 1 cameră,9,Variantă albă,,,44 m²,,66 000€,Chișinău_Durlești
,Agenție,Nu,Individuală,,,13,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,16,Variantă albă,,,46 m²,,71 393€,Chișinău_Râșcani
,Agenție,,,,,9,Secundar,,,,,Apartament cu 1 cameră,18,,,,30 m²,,46 900€,Chișinău_Buiucani
Se acceptă animale,Agenție,1,,Se acceptă copii,,1,Secundar,2,,,Deschis,Apartament cu 2 camere,5,Reparație cosmetică,,,48 m²,Cotileț,71 000€,Chișinău_Buiucani
,Agenție,,,,Exfactor-grup,12,Construcţii noi,,0 cm,,,Apartament cu 1 cameră,13,,0 m²,0 m²,51 m²,,126 000€,Chișinău_Botanica
Se acceptă animale,Persoană fizică,3,Individuală,Se acceptă copii,,17,Secundar,2,,Apartament cu living,Sub acoperiș,Apartament cu 2 camere,17,Euroreparație,,42 m²,82 m²,Monolit,82 000€,Chișinău_Botanica
,Persoană fizică,1,,,,6,Secundar,1,270 cm,,Deschis,Apartament cu 1 cameră,6,Euroreparație,12 m²,36 m²,40 m²,,72 000€,Chișinău_Râșcani
,Agenție,Nu,,,,5,Construcţii noi,1,0 cm,Apartament cu living,Deschis,Apartament cu 1 cameră,8,Euroreparație,0 m²,0 m²,60 m²,,250 000€,Chișinău_Centru
,Persoană fizică,2,,,,4,Secundar,2,,,,Apartament cu 3 camere,9,Fără reparație,,,80 m²,,95 000€,Chișinău_Botanica
,Agenție,,,,,9,Construcţii noi,,,Apartament cu living,,Apartament cu 3 camere,15,Fără reparație,,,76 m²,,87 400€,Chișinău_Râșcani
,Persoană fizică,,,,,4,Secundar,1,,Apartament fără living,Deschis,Apartament cu 1 cameră,5,Euroreparație,,,30 m²,Cotileț,35 880€,Bălți_8 cartier
,Persoană fizică,2,Individuală,,,2,Secundar,2,,Apartament cu living,Deschis,Apartament cu 2 camere,7,Design individual,,,79 m²,,179 500€,Chișinău_Centru
,Agenție,,,,,8,Secundar,2,0 cm,,,Apartament cu 2 camere,16,,0 m²,0 m²,61 m²,,93 000€,Chișinău_Ciocana
,Agenție,,Rubaşka,,,5,Secundar,,,,,Apartament cu 3 camere,5,,,,60 m²,,83 900€,Chișinău_Botanica
,Agenție,1,,,,2,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,5,Variantă albă,,,77 m²,,95 700€,Chișinău_Buiucani
,Agenție,1,,,,2,Construcţii noi,2,,Apartament fără living,Deschis,Apartament cu 2 camere,8,Variantă albă,,,80 m²,,120 000€,Chișinău_Buiucani
,Agenție,1,Individuală,,Nicons,4,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,12,Variantă albă,,,54 m²,Combinat,72 900€,Chișinău_Durlești
,Dezvoltator imobiliar,1,Ms (serie  moldovenească),,,7,Secundar,2,,,Deschis,Apartament cu 2 camere,9,Euroreparație,,,52 m²,,102 900€,Chișinău_Botanica
,Agenție,1,Individuală,,,7,Construcţii noi,2,,,Subterană,Apartament cu 2 camere,9,Variantă albă,,,48 m²,,78 000€,Chișinău_Telecentru
,Agenție,1,,,,1,Construcţii noi,2,0 cm,,,Apartament cu 2 camere,11,Variantă albă,0 m²,0 m²,69 m²,,82 000€,Chișinău_Poșta Veche
,Dezvoltator imobiliar,4 și mai multe,Individuală,,,9,Construcţii noi,2,280 cm,Apartament cu living,Deschis,Apartament cu 3 camere,11,Variantă albă,20 m²,125 m²,125 m²,Combinat,155 000€,Chișinău_Ciocana
,Agenție,,,,,14,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,16,,,,50 m²,,550€,Chișinău_Râșcani
,Dezvoltator imobiliar,,,,,5,Secundar,1,,Apartament cu living,,Apartament cu 1 cameră,5,Euroreparație,,,50 m²,,92 900€,Chișinău_Botanica
,Agenție,1,Individuală,,Lagmar Impex,6,Construcţii noi,1,,Apartament cu living,Subterană,Apartament cu 1 cameră,9,Variantă albă,,,42 m²,,52 500€,Chișinău_Telecentru
,Persoană fizică,1,Ms (serie  moldovenească),,,5,Secundar,1,,,,Apartament cu 3 camere,5,Euroreparație,,,63 m²,Combinat,120 000€,Chișinău_Poșta Veche
,Agenție,1,,,,5,Secundar,1,,,,Apartament cu 2 camere,5,Euroreparație,,,45 m²,,92 900€,Chișinău_Botanica
,Agenție,1,,,,5,Secundar,1,,,Deschis,Apartament cu 1 cameră,5,Reparație cosmetică,,,32 m²,,24 200€,Bălți_Paminteni
,Agenție,1,,,,5,Secundar,1,,Apartament fără living,Deschis,Apartament cu 1 cameră,9,Reparație cosmetică,,,20 m²,,28 500€,Chișinău_Râșcani
,Agenție,1,Individuală,,,4,Construcţii noi,2,,,Subterană,Apartament cu 3 camere,4,Variantă albă,,,81 m²,Cărămidă,236 060€,Chișinău_Centru
,Dezvoltator imobiliar,1,,,Exfactor-grup,2,Construcţii noi,2,300 cm,Apartament cu living,Subterană,Apartament cu 2 camere,17,Euroreparație,,,65 m²,,155 900€,Chișinău_Botanica
,Agenție,1,,,,5,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,5,Variantă albă,,,80 m²,,107 704€,Chișinău_Durlești
,Agenție,Nu,Individuală,,Dansicons,7,Construcţii noi,1,,,,Apartament cu 1 cameră,9,Euroreparație,,,50 m²,Combinat,112 000€,Chișinău_Ciocana
,Persoană fizică,1,Individuală,,Braus Imobiliare,1,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,6,Variantă albă,16 m²,58 m²,59 m²,Cărămidă,75 900€,Chișinău_Telecentru
,Persoană fizică,Nu,Pe pămănt,,,1,Secundar,1,0 cm,Apartament cu living,Deschis,Apartament cu 1 cameră,2,Euroreparație,0 m²,0 m²,38 m²,Cotileț,59 000€,Micăuți_Centru
,Agenție,,,,,12,Construcţii noi,,,,,Apartament cu 1 cameră,15,Reparație cosmetică,,,54 m²,,92 000€,Chișinău_Ciocana
Se acceptă animale,Persoană fizică,2,Individuală,Se acceptă copii,,3,Secundar,,,,Deschis,Apartament cu 2 camere,5,Euroreparație,,,50 m²,,129 900€,Chișinău_Telecentru
,Agenție,2,,,Exfactor-grup,11,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 3 camere,12,Euroreparație,,,80 m²,,173 800€,Chișinău_Ciocana
,Persoană fizică,3,143,,,4,Secundar,1,,Apartament cu living,Deschis,Apartament cu 3 camere,9,Design individual,,,84 m²,Beton,124 000€,Chișinău_Botanica
,Persoană fizică,1,Individuală,,,1,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,9,Design individual,,,60 m²,Cărămidă,179 000€,Chișinău_Botanica
,Agenție,1,,,,8,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 2 camere,10,Variantă albă,,,74 m²,,119 500€,Chișinău_Ciocana
,Agenție,,,,,13,Construcţii noi,,,,,Apartament cu 3 camere,13,Variantă albă,,86 m²,86 m²,,220 000€,Chișinău_Buiucani
Se acceptă animale,Agenție,1,,Se acceptă copii,,2,Construcţii noi,1,,Apartament fără living,,Apartament cu 2 camere,5,Euroreparație,,,74 m²,,225 000€,Chișinău_Centru
,Agenție,1,,,,4,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,9,Euroreparație,,,55 m²,,92 500€,Chișinău_Poșta Veche
,Agenție,,,,,4,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,10,Euroreparație,,,68 m²,,109 900€,Chișinău_Ciocana
,Agenție,1,,,,6,Secundar,2,,,,Apartament cu 2 camere,9,Design individual,,,54 m²,,56 000€,Bălți_10 cartier
,Agenție,1,,,,2,Construcţii noi,2,,,,Apartament cu 2 camere,10,Variantă albă,,,76 m²,,124 500€,Chișinău_Ciocana
,Persoană fizică,,,,,1,Secundar,,,,Deschis,Apartament cu 4 camere,9,Reparație cosmetică,,,80 m²,,80 000€,Cahul_Centru
,Agenție,1,,,,5,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,10,Euroreparație,,,63 m²,,114 900€,Chișinău_Botanica
,Agenție,,Individuală,,,1,Construcţii noi,1,0 cm,,Subterană,Apartament cu 2 camere,4,Construcție nefinisată,0 m²,0 m²,68 m²,,125 000€,Chișinău_Buiucani
,Dezvoltator imobiliar,2,,,,3,Construcţii noi,,275 cm,Apartament cu living,Subterană,Apartament cu 1 cameră,9,Variantă albă,,,49 m²,Cărămidă,69 100€,Chișinău_Botanica
,Dezvoltator imobiliar,1,,,,11,Construcţii noi,2,,,,Apartament cu 2 camere,13,Euroreparație,127 m²,127 m²,127 m²,Beton celular,350 000€,Chișinău_Centru
,Agenție,1,Individuală,,Exfactor-grup,12,Construcţii noi,2,,,Deschis,Apartament cu 2 camere,12,Variantă albă,,,76 m²,Combinat,156 000€,Chișinău_Buiucani
,Dezvoltator imobiliar,2,,,,3,Construcţii noi,,275 cm,Apartament cu living,Subterană,Apartament cu 3 camere,9,Variantă albă,,,84 m²,Cărămidă,104 000€,Chișinău_Botanica
,Persoană fizică,2,,,,2,Secundar,1,250 cm,,Deschis,Apartament cu 2 camere,5,Reparație cosmetică,,,44 m²,Cotileț,85 000€,Chișinău_Botanica
,Dezvoltator imobiliar,1,,,,4,Construcţii noi,,300 cm,,,Apartament cu 2 camere,12,,,,80 m²,,150 000€,Chișinău_Centru
,Dezvoltator imobiliar,,,,Lagmar Impex,9,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,14,Euroreparație,,,76 m²,,245 000€,Chișinău_Centru
,Persoană fizică,,,,Exfactor-grup,2,Construcţii noi,,,,,Apartament cu 2 camere,5,,,,54 m²,,75 000€,Codru_Centru
,Agenție,,,,,4,Secundar,1,,,Deschis,Apartament cu 1 cameră,5,Euroreparație,,,18 m²,,32 900€,Chișinău_Buiucani
,Persoană fizică,1,,,,8,Construcţii noi,,,,,Apartament cu 2 camere,10,,,77 m²,77 m²,,198 500€,Chișinău_Centru
,Agenție,,,,,7,Secundar,,,,,Apartament cu 3 camere,9,,,,70 m²,,98 000€,Chișinău_Ciocana
,Agenție,1,,,Dansicons,8,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,14,Euroreparație,,,43 m²,,95 900€,Chișinău_Centru
,Agenție,1,,,Inamstro,13,Construcţii noi,1,,Apartament cu living,Subterană,Apartament cu 3 camere,13,Variantă albă,,,86 m²,Combinat,220 000€,Chișinău_Centru
,Agenție,,,,,3,Construcţii noi,,0 cm,,,Apartament cu 2 camere,9,,0 m²,0 m²,62 m²,,130 000€,Chișinău_Botanica
,Dezvoltator imobiliar,,,,,9,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,12,,,,76 m²,,136 000€,Chișinău_Telecentru
,Agenție,,,,,11,Construcţii noi,1,0 cm,Apartament cu living,Deschis,Apartament cu 2 camere,13,Euroreparație,0 m²,0 m²,63 m²,,119 900€,Chișinău_Telecentru
,Dezvoltator imobiliar,,,,,3,Secundar,,,,,O cameră,9,Euroreparație,,,15 m²,,29 000€,Chișinău_Ciocana
,Dezvoltator imobiliar,2,Individuală,,Exfactor-grup,5,Construcţii noi,2,270 cm,,Subterană,Apartament cu 3 camere,10,Variantă albă,12 m²,45 m²,87 m²,Cărămidă,120 000€,Chișinău_Ciocana
,Persoană fizică,,Individuală,,,1,Secundar,1,0 cm,,Deschis,Apartament cu 2 camere,1,Variantă sură,15 m²,0 m²,60 m²,Cotileț,12 300€,Bălți_Aeroport
,Agenție,2,,,,4,Secundar,1,,,Deschis,Apartament cu 3 camere,5,Reparație cosmetică,,,67 m²,Cotileț,68 500€,Orhei_Centru
,Agenție,1,Individuală,,,Penthouse,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 3 camere,10,Variantă albă,20 m²,134 m²,134 m²,Monolit,134 000€,Chișinău_Durlești
,Agenție,1,Individuală,,Exfactor-grup,9,Construcţii noi,2,,Apartament cu living,,Apartament cu 2 camere,10,Euroreparație,,88 m²,88 m²,Cărămidă,209 000€,Chișinău_Ciocana
,Agenție,,Ms (serie  moldovenească),,,9,Secundar,2,,,Deschis,Apartament cu 2 camere,9,Euroreparație,,,48 m²,Panou,110 000€,Chișinău_Botanica
,Persoană fizică,2,,,,10,Construcţii noi,2,,,,Apartament cu 4 camere,12,Euroreparație,,,110 m²,,195 000€,Chișinău_Botanica
,Agenție,1,,,,4,Construcţii noi,1,,,Subterană,Apartament cu 1 cameră,14,Construcție nefinisată,,,42 m²,Cărămidă,56 700€,Chișinău_Poșta Veche
,Dezvoltator imobiliar,,,,,3,Secundar,,,,,Apartament cu 2 camere,9,,,,60 m²,,113 000€,Chișinău_Botanica
,Dezvoltator imobiliar,,,,,8,Construcţii noi,,,,,Apartament cu 1 cameră,10,,,,38 m²,,49 400€,Chișinău_Râșcani
,Persoană fizică,,,,,6,Construcţii noi,,,,,Apartament cu 2 camere,9,,,,65 m²,,260 000€,Chișinău_Centru
,Dezvoltator imobiliar,2,,,,3,Construcţii noi,1,275 cm,,Subterană,Apartament cu 3 camere,9,Variantă albă,,,84 m²,Cărămidă,106 650€,Chișinău_Botanica
,Agenție,,,,,6,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,6,Euroreparație,,,54 m²,,41 900€,Bălți_Centru
,Dezvoltator imobiliar,,,,,5,Construcţii noi,,,,,Apartament cu 1 cameră,7,,,,20 m²,,29 500€,Bubuieci_Centru
,Agenție,,,,,5,Construcţii noi,1,,Apartament cu living,,Apartament cu 2 camere,8,Variantă albă,,,49 m²,,172 000€,Chișinău_Centru
,Agenție,2,Individuală,,,13,Construcţii noi,1,,,Subterană,Apartament cu 1 cameră,13,Euroreparație,,,74 m²,Combinat,105 900€,Chișinău_Poșta Veche
,Dezvoltator imobiliar,2,,,,3,Construcţii noi,,275 cm,Apartament cu living,Subterană,Apartament cu 1 cameră,9,,,,49 m²,Cărămidă,66 000€,Chișinău_Botanica
,Persoană fizică,1,143,,,2,Secundar,1,0 cm,,,Apartament cu 2 camere,9,Euroreparație,12 m²,53 m²,57 m²,,107 000€,Chișinău_Centru
,Persoană fizică,,,,,5,Secundar,,,,,Apartament cu 1 cameră,5,,,34 m²,34 m²,Beton,54 900€,Chișinău_Râșcani
,Agenție,,,,,4,Construcţii noi,,,,,Apartament cu 2 camere,12,Euroreparație,,,70 m²,,1 300€,Chișinău_Râșcani
,Persoană fizică,Nu,Brj (Brejnevka),,,1,Secundar,1,280 cm,,Deschis,Apartament cu 2 camere,5,Are nevoie de reparație,6 m²,26 m²,42 m²,Cotileț,13 000$,Bender/Tighina_Borisovka
,Agenție,2,,,A-casa,3,Construcţii noi,2,,,Deschis,Apartament cu 3 camere,5,Variantă albă,,91 m²,91 m²,,117 455€,Chișinău_Durlești
,Agenție,,,,,1,Secundar,,,,,Apartament cu 2 camere,3,,,,57 m²,,69 900€,Chișinău_Râșcani
,Agenție,1,,,Exfactor-grup,6,Construcţii noi,,,,Subterană,Apartament cu 4 camere,9,Euroreparație,,,100 m²,,175 000€,Chișinău_Botanica
,Persoană fizică,1,,,,10,Construcţii noi,2,0 cm,Apartament cu living,,Apartament cu 2 camere,13,Design individual,0 m²,78 m²,78 m²,Cărămidă,215 000€,Chișinău_Centru
,Agenție,1,,,,8,Construcţii noi,3,,Apartament cu living,Deschis,Apartament cu 3 camere,9,Euroreparație,,,147 m²,,750 000€,Chișinău_Centru
Se acceptă animale,Agenție,2,Ms (serie  moldovenească),Se acceptă copii,,9,Secundar,2,270 cm,Apartament cu living,Deschis,Apartament cu 3 camere,9,Euroreparație,12 m²,67 m²,72 m²,Panou,160 900€,Chișinău_Râșcani
,Persoană fizică,1,,,Eldorado Terra,6,Construcţii noi,1,0 cm,Apartament cu living,Deschis,Apartament cu 2 camere,11,Euroreparație,0 m²,0 m²,70 m²,,125 000€,Chișinău_Ciocana
,Agenție,1,,,,2,Construcţii noi,2,,,,Apartament cu 2 camere,8,Variantă albă,,,64 m²,,103 000€,Chișinău_Buiucani
,Dezvoltator imobiliar,1,Individuală,,NG Invest,6,Construcţii noi,2,,Apartament cu living,Subterană,Apartament cu 2 camere,24,Variantă albă,,,68 m²,Cărămidă,122 500€,Chișinău_Râșcani
,Agenție,1,143,,,6,Secundar,2,,,Deschis,Apartament cu 2 camere,9,Reparație cosmetică,,,50 m²,Panou,79 900€,Chișinău_Centru
,Agenție,,,,Exfactor-grup,11,Construcţii noi,1,,Apartament cu living,,Apartament cu 2 camere,12,Euroreparație,,,65 m²,,169 900€,Chișinău_Ciocana
,Agenție,,,,,6,Secundar,,0 cm,,,Apartament cu 3 camere,6,,0 m²,0 m²,65 m²,,105 000€,Chișinău_Râșcani
,Agenție,1,,,,3,Secundar,,,Apartament cu living,Deschis,Apartament cu 2 camere,5,Euroreparație,,,80 m²,Cotileț,249 900€,Chișinău_Centru
,Dezvoltator imobiliar,1,,,,5,Construcţii noi,1,0 cm,Apartament cu living,,Apartament cu 2 camere,9,,0 m²,0 m²,83 m²,,140 930€,Chișinău_Centru
