Autorul anunțului,Număr de camere,Living,Suprafață totală,Fond locativ,Etaj,Număr de etaje,Starea apartamentului,Grup sanitar,Loc de parcare,price,Balcon/ lojie,Compartimentare,Dezvoltator,Tip clădire,Copii,Animale,Suprafață locativă,Suprafață bucătărie,Inălțimea tavanelor
Agenție,Apartament cu 4 camere,,128 m²,Construcţii noi,14,16,,,,1 400€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Agenție,Apartament cu 2 camere,,65 m²,Construcţii noi,9,11,Design individual,1,Deschis,183 900€,1,,Lagmar Impex,Cărămidă,,,,,
Persoană fizică,Apartament cu 2 camere,,70 m²,Construcţii noi,11,11,Euroreparație,1,Deschis,550€,1,,,Combinat,Se acceptă copii,Fără animale,,,
Persoană fizică,Apartament cu 2 camere,,70 m²,Secundar,8,9,,,,174 500€,,,Basconslux,,,,,,
Agenție,Apartament cu 2 camere,,54 m²,Secundar,5,5,Euroreparație,2,,80 000€,1,,,,,,,,
Persoană fizică,Apartament cu 1 cameră,,23 m²,Secundar,3,5,Design individual,1,Deschis,400MDL,,Cămin familial,,,Fără copii,Fără animale,,,
Agenție,Apartament cu 1 cameră,Apartament cu living,51 m²,Construcţii noi,4,10,Variantă albă,1,Subterană,81 400€,1,,Lagmar Impex,,,,,,
Agenție,Apartament cu 1 cameră,Apartament cu living,55 m²,Construcţii noi,6,9,Euroreparație,1,,650€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Dezvoltator imobiliar,Apartament cu 2 camere,,75 m²,Construcţii noi,1,11,Variantă albă,1,Deschis,71 250€,1,,,Combinat,,,0 m²,0 m²,0 cm
Agenție,Apartament cu 2 camere,,37 m²,Secundar,3,17,Are nevoie de reparație,2,Deschis,38 500€,1,Individuală,,,,,,,
Persoană fizică,Apartament cu 2 camere,Apartament cu living,58 m²,Construcţii noi,5,6,Variantă albă,1,Deschis,69 900€,1,,,Beton,,,57 m²,,277 cm
Agenție,Apartament cu 2 camere,,45 m²,Secundar,1,5,,,,1 000MDL,,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 1 cameră,Apartament cu living,50 m²,Construcţii noi,1,9,Euroreparație,1,Deschis,550€,1,,,,Fără copii,Fără animale,0 m²,0 m²,0 cm
Bancă,Apartament cu 3 camere,Apartament cu living,172 m²,Construcţii noi,1,10,Euroreparație,1,,145 000€,1,,,Beton,,,,,
Persoană fizică,Apartament cu 3 camere,,92 m²,Construcţii noi,1,10,Variantă albă,2,,147 000€,1,,Basconslux,,,,,15 m²,
Agenție,Apartament cu 3 camere,Apartament cu living,111 m²,Construcţii noi,2,14,Euroreparație,2,Deschis,229 500€,1,,,,,,,,
Agenție,Apartament cu 2 camere,,66 m²,Construcţii noi,6,12,Euroreparație,1,,133 000€,1,,,,,,,,
Dezvoltator imobiliar,Apartament cu 2 camere,Apartament cu living,62 m²,Construcţii noi,11,12,Variantă albă,,Deschis,78 850€,1,Individuală,Estate Invest Company,Combinat,,,62 m²,15 m²,280 cm
Agenție,Apartament cu 2 camere,,50 m²,Secundar,2,5,,,,86 700€,,,,,,,,,
Persoană fizică,Apartament cu 2 camere,Apartament fără living,45 m²,Secundar,3,5,Reparație cosmetică,1,,67 999€,,,,Cotileț,Se acceptă copii,Se acceptă animale,,,
Persoană fizică,Apartament cu 1 cameră,,52 m²,Secundar,1,9,Euroreparație,,,350€,,,,,Fără copii,Fără animale,,,
Dezvoltator imobiliar,Apartament cu 1 cameră,,47 m²,Construcţii noi,3,8,Variantă albă,,,52 259€,,,,,,,,,
Dezvoltator imobiliar,O cameră,,75 m²,Construcţii noi,3,3,,,,200€,,,,,Fără copii,Fără animale,,,
Agenție,Apartament cu 1 cameră,,34 m²,Construcţii noi,6,9,Euroreparație,1,Deschis,72 900€,1,Individuală,,Beton celular,,,,,
Agenție,Apartament cu 2 camere,Apartament cu living,73 m²,Construcţii noi,10,14,Euroreparație,2,Deschis,155 900€,2,,,,,,,,
Agenție,Apartament cu 1 cameră,,31 m²,Secundar,2,4,Euroreparație,1,,65 000€,1,,,,,,,,
Agenție,Apartament cu 3 camere,,113 m²,Construcţii noi,11,12,Euroreparație,1,Subterană,265 000€,2,Individuală,,,,,,,
Persoană fizică,Apartament cu 1 cameră,,40 m²,Construcţii noi,2,9,,,,60 300€,,,Lagmar Impex,,,,,,
Dezvoltator imobiliar,Apartament cu 1 cameră,,42 m²,Construcţii noi,2,4,Variantă albă,1,Subterană,49 524€,1,,,,,,,,290 cm
Agenție,Apartament cu 2 camere,,70 m²,Construcţii noi,15,16,,,,1 100€,,,,,Se acceptă copii,Cu acordul stăpânului,70 m²,,
Agenție,Apartament cu 2 camere,Apartament cu living,68 m²,Construcţii noi,1,10,Euroreparație,1,,600€,1,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 3 camere,,76 m²,Construcţii noi,5,10,Construcție nefinisată,2,Deschis,85 000€,2,Individuală,Lagmar Impex,Combinat,,,,,
Agenție,Apartament cu 1 cameră,,50 m²,Construcţii noi,1,13,Euroreparație,1,,440€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Persoană fizică,O cameră,,14 m²,Secundar,4,5,,,,250€,,,,,Fără copii,Fără animale,,,
Persoană fizică,Apartament cu 1 cameră,Apartament cu living,49 m²,Construcţii noi,10,14,Euroreparație,2,Deschis,580€,1,Individuală,Exfactor-grup,Cărămidă,Se acceptă copii,Cu acordul stăpânului,,,
Agenție,Apartament cu 1 cameră,,36 m²,Construcţii noi,7,21,Euroreparație,1,Subterană,98 800€,1,,,,,,36 m²,,
Dezvoltator imobiliar,Apartament cu 3 camere,Apartament cu living,138 m²,Construcţii noi,8,8,,,,237 000€,,,,,,,,,
Dezvoltator imobiliar,Apartament cu 3 camere,,87 m²,Construcţii noi,5,13,Variantă albă,2,Subterană,134 850€,2,,,,,,,,
Agenție,Apartament cu 2 camere,,61 m²,Secundar,3,10,Euroreparație,1,Deschis,125 900€,1,,,,,,,,
Agenție,Apartament cu 3 camere,Apartament fără living,73 m²,Secundar,4,5,Reparație cosmetică,2,Deschis,134 900€,1,,,,,,,,
Agenție,Apartament cu 2 camere,,70 m²,Construcţii noi,3,6,Euroreparație,1,Deschis,133 900€,1,Individuală,,,,,,,
Agenție,Apartament cu 3 camere,Apartament cu living,106 m²,Construcţii noi,11,12,Euroreparație,2,Subterană,2 300€,1,,Crown Plaza,,Cu acordul stăpânului,Fără animale,,,
Agenție,Apartament cu 2 camere,Apartament cu living,75 m²,Construcţii noi,2,13,Euroreparație,1,,1 000€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Dezvoltator imobiliar,Apartament cu 3 camere,Apartament cu living,76 m²,Construcţii noi,9,15,,,,244 900€,,,,,,,,,
Agenție,Apartament cu 2 camere,Apartament cu living,70 m²,Construcţii noi,2,6,Euroreparație,1,Deschis,125 000€,,,,,,,,,
Persoană fizică,Apartament cu 1 cameră,,48 m²,Construcţii noi,5,9,Design individual,,Deschis,500€,,,,,Se acceptă copii,Fără animale,0 m²,12 m²,0 cm
Agenție,Apartament cu 2 camere,,70 m²,Construcţii noi,11,12,Euroreparație,1,,1 100€,,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 3 camere,,71 m²,Construcţii noi,1,5,,,,110 000€,,,,,,,,,
Agenție,Apartament cu 1 cameră,,38 m²,Construcţii noi,6,10,Euroreparație,1,Subterană,97 000€,1,Individuală,Sky House,Cărămidă,,,,,
Agenție,Apartament cu 1 cameră,,41 m²,Construcţii noi,7,15,,,,800MDL,,,,,Se acceptă copii,Fără animale,0 m²,0 m²,0 cm
