Autorul anunțului,Număr de camere,Living,Suprafață totală,Fond locativ,Etaj,Număr de etaje,Starea apartamentului,Grup sanitar,Loc de parcare,price,Balcon/ lojie,Compartimentare,Dezvoltator,Tip clădire,Copii,Animale,Suprafață locativă,Suprafață bucătărie,Inălțimea tavanelor
Persoană fizică,Apartament cu 3 camere,Apartament cu living,73 m²,Construcţii noi,2,3,,,,109 000€,,,,,,,,,
Agenție,Apartament cu 2 camere,Apartament cu living,149 m²,Construcţii noi,2,8,Euroreparație,1,Deschis,490 000€,Nu,,,,,,,,
Persoană fizică,Apartament cu 1 cameră,Apartament cu living,68 m²,Construcţii noi,8,10,Euroreparație,1,Deschis,135 000€,2,Individuală,,Cotileț,,,68 m²,,
Dezvoltator imobiliar,Apartament cu 1 cameră,,25 m²,Construcţii noi,1,1,Euroreparație,1,Deschis,600MDL,,Pe pămănt,,Cotileț,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 2 camere,,113 m²,Construcţii noi,10,10,Euroreparație,1,Subterană,283 000€,1,,,,,,,,
Dezvoltator imobiliar,Apartament cu 1 cameră,Apartament fără living,30 m²,Construcţii noi,2,2,Design individual,1,Deschis,350€,Nu,Pe pămănt,Casa de Piatra,Cotileț,Fără copii,Cu acordul stăpânului,30 m²,12 m²,280 cm
Agenție,Apartament cu 1 cameră,,33 m²,Secundar,2,5,,,Deschis,500MDL,1,,,,Se acceptă copii,Cu acordul stăpânului,,,
Persoană fizică,Apartament cu 3 camere,Apartament cu living,104 m²,Construcţii noi,5,13,Design individual,,,235 000€,,,,,,,,,
Dezvoltator imobiliar,Apartament cu 2 camere,,40 m²,Construcţii noi,16,16,,,,70 000€,,,,,,,,,
Agenție,Apartament cu 2 camere,Apartament cu living,77 m²,Construcţii noi,7,9,Euroreparație,1,Deschis,1 050€,1,,,,Se acceptă copii,Fără animale,,,
Persoană fizică,Apartament cu 2 camere,Apartament cu living,75 m²,Construcţii noi,2,11,Euroreparație,1,Deschis,750€,1,Individuală,,,Se acceptă copii,Fără animale,75 m²,,
Agenție,Apartament cu 1 cameră,,50 m²,Construcţii noi,5,9,Construcție nefinisată,2,Deschis,76 900€,1,Individuală,,Cărămidă,,,,,
Agenție,Apartament cu 2 camere,,55 m²,Construcţii noi,5,14,Euroreparație,1,,1 300€,,,,,Se acceptă copii,Fără animale,,,
Persoană fizică,Apartament cu 2 camere,Apartament cu living,58 m²,Secundar,2,2,Euroreparație,,,107 000€,,,,Cotileț,,,58 m²,10 m²,
Agenție,Apartament cu 2 camere,Apartament cu living,65 m²,Construcţii noi,12,12,Euroreparație,1,Deschis,180 000€,1,,,,,,,,
Agenție,Apartament cu 2 camere,Apartament cu living,80 m²,Construcţii noi,17,17,Euroreparație,1,Deschis,143 000€,1,,,,,,,,
Agenție,Apartament cu 2 camere,,60 m²,Construcţii noi,9,14,Euroreparație,1,,800€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Agenție,Apartament cu 1 cameră,Apartament cu living,43 m²,Construcţii noi,10,12,Euroreparație,1,Deschis,116 500€,1,,,,,,,,
Agenție,Apartament cu 2 camere,,47 m²,Construcţii noi,3,17,,,,850€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Agenție,Apartament cu 3 camere,,85 m²,Construcţii noi,1,5,Euroreparație,1,Subterană,149 000€,1,,,,,,0 m²,0 m²,0 cm
Agenție,Apartament cu 2 camere,Apartament cu living,59 m²,Secundar,11,12,,,,135 900€,,,,,,,,,
Agenție,Apartament cu 3 camere,,80 m²,Construcţii noi,7,15,Euroreparație,1,,2 000€,3,,,,Se acceptă copii,Fără animale,,,
Persoană fizică,Apartament cu 2 camere,,44 m²,Secundar,3,5,Reparație cosmetică,1,,400€,1,Hruşciovka,,Panou,Se acceptă copii,Se acceptă animale,,,
Agenție,Apartament cu 1 cameră,,40 m²,Construcţii noi,8,11,Fără reparație,1,Subterană,95 000€,,,,Beton,Se acceptă copii,Se acceptă animale,40 m²,13 m²,3 cm
Agenție,Apartament cu 1 cameră,Apartament cu living,55 m²,Construcţii noi,2,10,Euroreparație,1,Deschis,600€,Nu,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 2 camere,,62 m²,Construcţii noi,11,11,Euroreparație,1,,700€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Agenție,Apartament cu 1 cameră,Apartament cu living,50 m²,Construcţii noi,10,12,Design individual,1,Deschis,800MDL,1,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 2 camere,Apartament cu living,80 m²,Construcţii noi,5,5,Euroreparație,1,Deschis,175 000€,1,,,,,,,,
Agenție,Apartament cu 1 cameră,,46 m²,Construcţii noi,6,16,,,,66 700€,,,Lagmar Impex,,,,0 m²,0 m²,0 cm
Agenție,Apartament cu 2 camere,,68 m²,Construcţii noi,5,10,Variantă albă,2,Subterană,90 440€,2,,Exfactor-grup,Combinat,,,,,
Agenție,Apartament cu 1 cameră,,58 m²,Construcţii noi,9,9,Euroreparație,1,,650€,,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 2 camere,,50 m²,Construcţii noi,5,17,Euroreparație,1,Deschis,950€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Agenție,Apartament cu 3 camere,Apartament cu living,100 m²,Construcţii noi,5,10,,2,Garaj,1 400€,1,,,,Se acceptă copii,Cu acordul stăpânului,,,
Agenție,O cameră,,22 m²,Secundar,2,5,Euroreparație,1,Deschis,39 900€,,,,,,,,,
Agenție,Apartament cu 1 cameră,,60 m²,Construcţii noi,4,10,Euroreparație,1,,600€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Agenție,Apartament cu 2 camere,,36 m²,Secundar,4,5,Reparație cosmetică,2,Deschis,55 000€,Nu,,,Cotileț,,,,,
Agenție,Apartament cu 1 cameră,,50 m²,Construcţii noi,7,10,Euroreparație,1,,650€,1,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 2 camere,,64 m²,Construcţii noi,2,13,Variantă albă,2,Deschis,96 000€,1,Individuală,,,,,,,
Agenție,Apartament cu 2 camere,Apartament cu living,120 m²,Construcţii noi,8,10,Euroreparație,1,Deschis,220 000€,1,,,,,,,,
Agenție,Apartament cu 2 camere,,75 m²,Construcţii noi,8,9,Euroreparație,1,Deschis,990€,,,,,Se acceptă copii,Se acceptă animale,75 m²,,
Agenție,Apartament cu 2 camere,,63 m²,Construcţii noi,3,11,,,,82 900€,,,,,,,63 m²,,
Agenție,Apartament cu 2 camere,,87 m²,Construcţii noi,14,17,Euroreparație,2,,1 300€,1,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Persoană fizică,Apartament cu 1 cameră,,15 m²,Construcţii noi,1,3,,1,Deschis,180MDL,4 și mai multe,,,,Se acceptă copii,Se acceptă animale,0 m²,0 m²,0 cm
Dezvoltator imobiliar,Apartament cu 1 cameră,,46 m²,Construcţii noi,5,11,Variantă albă,,,66 000€,1,,,,,,,,
Persoană fizică,Apartament cu 1 cameră,,57 m²,Secundar,11,16,,,,600MDL,,,,,Fără copii,Fără animale,,,
Dezvoltator imobiliar,Apartament cu 2 camere,Apartament cu living,75 m²,Construcţii noi,5,11,Euroreparație,,,79€,,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 2 camere,,100 m²,Construcţii noi,2,3,,,,149 000€,,,,,,,,,
Agenție,Apartament cu 2 camere,,60 m²,Construcţii noi,10,10,,,,104 900€,,,,,,,,,
Agenție,Apartament cu 3 camere,,93 m²,Construcţii noi,6,20,Variantă albă,,Subterană,269 000€,,,,,,,93 m²,,
Agenție,Apartament cu 2 camere,,70 m²,Construcţii noi,2,6,Euroreparație,2,,144 500€,1,,,,,,,,
Dezvoltator imobiliar,Apartament cu 3 camere,,83 m²,Construcţii noi,5,13,Variantă albă,2,Deschis,128 805€,2,,,,,,83 m²,,
Dezvoltator imobiliar,Apartament cu 4 camere,Apartament cu living,108 m²,Construcţii noi,7,16,Euroreparație,2,Sub acoperiș,298 000€,3,Individuală,Eldorado Terra,Combinat,,,100 m²,40 m²,300 cm
Agenție,Apartament cu 2 camere,,57 m²,Construcţii noi,5,9,Euroreparație,1,,191 900€,1,,,,,,,,
Agenție,Apartament cu 2 camere,Apartament cu living,72 m²,Construcţii noi,2,10,Euroreparație,2,,158 000€,2,,,,,,,,
Agenție,Apartament cu 3 camere,,65 m²,Construcţii noi,8,13,,,,1 000€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,0 m²,0 m²,0 cm
Agenție,Apartament cu 2 camere,,70 m²,Construcţii noi,7,14,Variantă albă,2,,91 000€,1,Individuală,,Combinat,,,70 m²,,
Agenție,Apartament cu 3 camere,,150 m²,Construcţii noi,14,16,Euroreparație,2,Subterană,1 500€,,,,,Se acceptă copii,Fără animale,,,
Dezvoltator imobiliar,Apartament cu 2 camere,Apartament cu living,82 m²,Construcţii noi,8,12,Variantă albă,1,Deschis,185 500€,1,Individuală,Inamstro,Combinat,,,50 m²,20 m²,280 cm
Agenție,Apartament cu 2 camere,,50 m²,Secundar,2,5,Euroreparație,1,,800€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Agenție,Apartament cu 2 camere,Apartament cu living,70 m²,Construcţii noi,5,11,Euroreparație,2,Deschis,179 900€,1,,,,,,,,
Dezvoltator imobiliar,Apartament cu 3 camere,,173 m²,Construcţii noi,9,9,Variantă albă,3,Deschis,155 520€,2,,,,,,,,
Agenție,Apartament cu 2 camere,Apartament cu living,85 m²,Construcţii noi,17,17,Variantă albă,2,Deschis,184 900€,2,,Eldorado Terra,,,,0 m²,0 m²,0 cm
Agenție,Apartament cu 2 camere,Apartament cu living,73 m²,Secundar,1,2,Euroreparație,1,,103 000€,,,,,Se acceptă copii,Se acceptă animale,,,
Dezvoltator imobiliar,Apartament cu 4 camere,Apartament cu living,108 m²,Construcţii noi,7,16,Euroreparație,2,Sub acoperiș,298 000€,3,Individuală,Eldorado Terra,Combinat,,,100 m²,40 m²,300 cm
Dezvoltator imobiliar,Apartament cu 1 cameră,Apartament cu living,55 m²,Construcţii noi,5,14,Euroreparație,,,500€,,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 1 cameră,Apartament cu living,50 m²,Construcţii noi,13,13,,,,900MDL,1,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 3 camere,,80 m²,Construcţii noi,12,12,Euroreparație,1,,264 900€,1,,,,,,0 m²,0 m²,0 cm
Agenție,Apartament cu 1 cameră,,47 m²,Construcţii noi,13,15,Euroreparație,1,,750€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Agenție,Apartament cu 3 camere,,90 m²,Construcţii noi,8,9,Euroreparație,3,Subterană,3 000€,1,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 3 camere,,76 m²,Secundar,1,5,Euroreparație,1,Deschis,119 000€,2,,,,,,,,
Agenție,Apartament cu 2 camere,,30 m²,Secundar,2,9,Are nevoie de reparație,1,Deschis,35 000€,,,,,,,,,
Agenție,Apartament cu 2 camere,,59 m²,Construcţii noi,5,9,Euroreparație,1,Deschis,95 000€,2,Individuală,,Cotileț,,,,,
Dezvoltator imobiliar,Apartament cu 1 cameră,Apartament fără living,52 m²,Construcţii noi,4,12,Variantă albă,1,Subterană,53 040€,,,Estate Invest Company,,Se acceptă copii,Se acceptă animale,,,
Dezvoltator imobiliar,Apartament cu 1 cameră,,41 m²,Construcţii noi,1,9,,1,Subterană,48 734€,1,,,,Se acceptă copii,Se acceptă animale,,,
Persoană fizică,Apartament cu 2 camere,,55 m²,Secundar,3,5,Euroreparație,1,,35€,1,,,Cotileț,Se acceptă copii,Fără animale,55 m²,12 m²,250 cm
Persoană fizică,Apartament cu 1 cameră,,27 m²,Secundar,5,5,,,,37 900€,,,,,,,0 m²,0 m²,0 cm
Persoană fizică,Apartament cu 2 camere,,60 m²,Secundar,4,9,Euroreparație,1,Deschis,600€,1,,,,Se acceptă copii,Fără animale,,,
Persoană fizică,Apartament cu 3 camere,Apartament cu living,84 m²,Secundar,4,9,Euroreparație,2,Deschis,119 990€,2,143,,,,,84 m²,15 m²,
Agenție,Apartament cu 1 cameră,,60 m²,Construcţii noi,3,7,,1,,1 000€,,,,,Se acceptă copii,Cu acordul stăpânului,,,
Persoană fizică,Apartament cu 2 camere,Apartament cu living,63 m²,Construcţii noi,11,12,Euroreparație,1,Subterană,119 900€,,,Estate Invest Company,Cărămidă,,,63 m²,0 m²,270 cm
Agenție,Apartament cu 2 camere,,68 m²,Construcţii noi,6,11,Euroreparație,2,Deschis,155 000€,1,Individuală,Basconslux,Cotileț,,,,,
Persoană fizică,Apartament cu 1 cameră,,40 m²,Construcţii noi,6,12,,,,550€,,,,,Fără copii,Fără animale,,,
Persoană fizică,Apartament cu 2 camere,,46 m²,Secundar,5,5,,,,2 500MDL,,,,,Fără copii,Fără animale,,,
Agenție,Apartament cu 2 camere,,58 m²,Construcţii noi,8,10,Euroreparație,2,Subterană,129 900€,1,,,,,,,,
Agenție,Apartament cu 2 camere,,40 m²,Secundar,4,9,,,,70 000€,,,,,,,0 m²,0 m²,0 cm
Agenție,Apartament cu 1 cameră,,48 m²,Construcţii noi,4,21,Euroreparație,1,Deschis,115 000€,1,Individuală,Braus Imobiliare,Cărămidă,,,,,
Dezvoltator imobiliar,Apartament cu 2 camere,Apartament cu living,68 m²,Construcţii noi,4,9,Variantă albă,1,,84 075€,1,,,,Se acceptă copii,Se acceptă animale,,,
Agenție,Apartament cu 2 camere,,50 m²,Construcţii noi,7,11,,,,30€,,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 2 camere,Apartament cu living,70 m²,Construcţii noi,4,10,Euroreparație,2,Deschis,155 000€,1,,,,,,0 m²,0 m²,0 cm
Persoană fizică,Apartament cu 3 camere,,56 m²,Secundar,2,5,Euroreparație,1,Deschis,500€,1,Rubaşka,,Cotileț,Cu acordul stăpânului,Fără animale,,,
Persoană fizică,Apartament cu 2 camere,,60 m²,Construcţii noi,4,7,,,,600€,,,,,Se acceptă copii,Cu acordul stăpânului,60 m²,0 m²,0 cm
Agenție,Apartament cu 2 camere,,73 m²,Construcţii noi,6,9,Reparație cosmetică,1,Deschis,115 900€,1,,,,,,,,
Persoană fizică,O cameră,,14 m²,Secundar,4,5,,,,250€,,,,,Fără copii,Fără animale,,,
Agenție,Apartament cu 2 camere,Apartament cu living,63 m²,Construcţii noi,2,16,Euroreparație,2,Subterană,154 900€,1,,Exfactor-grup,,,,,,
Agenție,Apartament cu 1 cameră,,14 m²,Secundar,3,5,Euroreparație,1,,28 500€,,Cămin familial,,Cotileț,,,,,
Agenție,Apartament cu 2 camere,,79 m²,Construcţii noi,3,9,Variantă albă,1,,67 150€,1,,,,,,,,
Agenție,Apartament cu 3 camere,,109 m²,Secundar,1,16,Euroreparație,2,Deschis,150 000€,1,Individuală,,Monolit,,,109 m²,0 m²,0 cm
Agenție,Apartament cu 4 camere,Apartament cu living,175 m²,Construcţii noi,4,6,Euroreparație,2,Deschis,350 000€,1,,,,,,,,
Agenție,Apartament cu 1 cameră,,40 m²,Construcţii noi,3,9,,1,,71 900€,,,,,,,,,
Dezvoltator imobiliar,Apartament cu 1 cameră,,35 m²,Secundar,5,5,,,,400MDL,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Persoană fizică,Apartament cu 3 camere,,72 m²,Secundar,8,9,Euroreparație,1,Deschis,600€,1,143,,Bloc,Se acceptă copii,Fără animale,68 m²,15 m²,250 cm
Persoană fizică,,,,,1,,,,,100MDL,,,,,,,,,
Dezvoltator imobiliar,O cameră,,69 m²,Construcţii noi,3,6,,,,200€,,,,,Fără copii,Fără animale,,,
Agenție,Apartament cu 3 camere,Apartament cu living,97 m²,Construcţii noi,3,9,Euroreparație,2,,1 000€,,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 4 camere,,310 m²,Construcţii noi,3,3,Variantă albă,3,,770 000€,,,,,,,,,
Persoană fizică,Apartament cu 1 cameră,Apartament fără living,37 m²,Construcţii noi,8,12,Euroreparație,1,Deschis,600€,1,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 3 camere,,133 m²,Construcţii noi,6,7,Variantă albă,2,,103 711€,3,,,,,,,,
Agenție,Apartament cu 3 camere,,63 m²,Secundar,1,3,Are nevoie de reparație,1,Deschis,51 900€,1,Individuală,,Cotileț,,,,,
Agenție,Apartament cu 3 camere,,85 m²,Construcţii noi,5,23,Euroreparație,2,Subterană,265 000€,,,,,,,85 m²,,
Agenție,Apartament cu 2 camere,Apartament cu living,60 m²,Secundar,8,9,Euroreparație,2,Deschis,127 900€,1,,,,,,,,
Persoană fizică,Apartament cu 3 camere,,72 m²,Secundar,6,10,,,,126 500€,,Ms (serie  moldovenească),,,,,,,
Agenție,Apartament cu 2 camere,Apartament cu living,55 m²,Construcţii noi,3,8,Euroreparație,1,,850€,1,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 2 camere,Apartament fără living,54 m²,Construcţii noi,1,6,Reparație cosmetică,1,Deschis,109 900€,2,Individuală,,Cotileț,Se acceptă copii,Se acceptă animale,38 m²,12 m²,280 cm
Agenție,Apartament cu 2 camere,,48 m²,Secundar,5,5,Reparație cosmetică,,,250€,,,,Cotileț,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 1 cameră + Living,,62 m²,Construcţii noi,12,15,Euroreparație,1,,900€,,,,,Se acceptă copii,Fără animale,,,
Dezvoltator imobiliar,Apartament cu 2 camere,,67 m²,Construcţii noi,5,8,,,,89 780€,,,,,,,,,
Agenție,Apartament cu 2 camere,Apartament cu living,66 m²,Secundar,2,5,Euroreparație,1,Deschis,114 000€,1,,,,,,,,
Dezvoltator imobiliar,Apartament cu 2 camere,Apartament fără living,52 m²,Secundar,5,5,Euroreparație,1,Deschis,95 000€,1,Individuală,Armoson Invest,Cotileț,Se acceptă copii,Se acceptă animale,52 m²,9 m²,300 cm
Agenție,Apartament cu 2 camere,,80 m²,Construcţii noi,9,13,,,,245 000€,,,,,,,,,
Agenție,Apartament cu 1 cameră,,38 m²,Secundar,1,5,Reparație cosmetică,1,Deschis,60 300€,1,Cş (Ceşka),,Cotileț,,,29 m²,,
Agenție,Apartament cu 2 camere,Apartament cu living,70 m²,Construcţii noi,8,9,Euroreparație,,,790€,,,,,Se acceptă copii,Cu acordul stăpânului,,,
Agenție,Apartament cu 1 cameră,,40 m²,Construcţii noi,8,11,Variantă albă,,,95 000€,,,,,,,,,
Persoană fizică,Apartament cu 2 camere,Apartament cu living,98 m²,Construcţii noi,4,4,Design individual,2,Deschis,325 000€,3,Individuală,,,,,,,320 cm
Agenție,Apartament cu 2 camere,,70 m²,Construcţii noi,10,15,Euroreparație,1,Subterană,199 000€,1,,,Cărămidă,,,,,
Agenție,Apartament cu 1 cameră,Apartament fără living,38 m²,Secundar,2,9,Reparație cosmetică,1,Deschis,69 900€,1,,,,,,,,
Agenție,Apartament cu 3 camere,,150 m²,Construcţii noi,3,9,Euroreparație,2,,1 500€,3,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 2 camere,,74 m²,Construcţii noi,4,4,Variantă albă,2,,125 000€,1,,,,,,,,
Agenție,Apartament cu 1 cameră,,31 m²,Secundar,5,5,,,,100MDL,,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 2 camere,,90 m²,Construcţii noi,5,8,Euroreparație,1,,4 500€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Agenție,Apartament cu 3 camere,Apartament cu living,70 m²,Construcţii noi,8,9,,1,Deschis,700€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Agenție,Apartament cu 1 cameră,Apartament cu living,50 m²,Construcţii noi,8,10,Design individual,1,,750MDL,1,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 5 camere sau mai multe,,155 m²,Construcţii noi,9,9,,2,,225 000€,1,,,,,,,,
Agenție,Apartament cu 1 cameră,,50 m²,Construcţii noi,7,10,Variantă albă,2,Subterană,71 500€,2,,Exfactor-grup,Combinat,,,,,
Agenție,Apartament cu 3 camere,,93 m²,Construcţii noi,2,9,,,,1 300MDL,,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 3 camere,,70 m²,Secundar,5,9,Euroreparație,1,Deschis,113 000€,,,,,,,,,
Agenție,Apartament cu 3 camere,Apartament cu living,161 m²,Construcţii noi,10,10,Euroreparație,2,,350 000€,,,,,,,,,
Dezvoltator imobiliar,Apartament cu 2 camere,Apartament cu living,114 m²,Construcţii noi,8,9,Variantă albă,3,,126 496€,1,,,,,,,,
Persoană fizică,Apartament cu 3 camere,Apartament cu living,105 m²,Construcţii noi,8,12,,,,285 000€,,,Exfactor-grup,,,,,,
Persoană fizică,Apartament cu 1 cameră,,33 m²,Secundar,4,5,,,,400€,,,,,Fără copii,Fără animale,,,
Agenție,Apartament cu 2 camere,Apartament cu living,65 m²,Construcţii noi,3,7,,1,,1 250€,,,,,Se acceptă copii,Cu acordul stăpânului,,,
Agenție,Apartament cu 2 camere,,73 m²,Construcţii noi,4,12,Construcție nefinisată,2,Sub acoperiș,100 188€,1,Individuală,,Cărămidă,,,0 m²,0 m²,0 cm
Agenție,Apartament cu 1 cameră,Apartament cu living,43 m²,Construcţii noi,8,14,Euroreparație,1,Deschis,95 900€,1,,Dansicons,,,,,,
Agenție,Apartament cu 3 camere,,72 m²,Secundar,2,9,Euroreparație,2,,600€,1,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 2 camere,Apartament fără living,53 m²,Construcţii noi,1,5,Euroreparație,1,Deschis,121 900€,1,,,,,,,,
Dezvoltator imobiliar,Apartament cu 1 cameră,,45 m²,Construcţii noi,6,7,,,,600€,,,,,Cu acordul stăpânului,Fără animale,,,
Agenție,Apartament cu 2 camere,Apartament cu living,68 m²,Construcţii noi,11,17,Euroreparație,1,Deschis,1 200€,1,,,,Se acceptă copii,Fără animale,,,
Dezvoltator imobiliar,Apartament cu 1 cameră,Apartament cu living,46 m²,Construcţii noi,4,14,Variantă albă,1,,65 945€,,,Lagmar Impex,,,,,,
Agenție,Apartament cu 2 camere,Apartament cu living,80 m²,Construcţii noi,12,12,Euroreparație,1,Deschis,250 000€,2,,Exfactor-grup,Cărămidă,,,,,
Dezvoltator imobiliar,O cameră,Apartament cu living,18 m²,Construcţii noi,1,1,Euroreparație,3,Deschis,350MDL,Nu,135,A-casa,Beton,Se acceptă copii,Se acceptă animale,256 m²,12 m²,12 cm
Agenție,Apartament cu 4 camere,Apartament cu living,135 m²,Secundar,9,10,Reparație cosmetică,2,Deschis,130 000€,1,,,,,,,,
Agenție,Apartament cu 2 camere,,75 m²,Construcţii noi,4,12,Euroreparație,1,Deschis,159 900€,1,,Varicom,Combinat,,,,,
Dezvoltator imobiliar,O cameră,,24 m²,Secundar,11,16,Euroreparație,1,Deschis,250€,1,Cămin familial,,Monolit,Se acceptă copii,Fără animale,19 m²,5 m²,2700 cm
Agenție,Apartament cu 3 camere,,97 m²,Construcţii noi,5,10,Euroreparație,2,Deschis,179 900€,1,Individuală,Basconslux,Beton celular,,,,,
Agenție,Apartament cu 2 camere,,75 m²,Construcţii noi,9,11,,,,150MDL,,,,,Se acceptă copii,Fără animale,,,
Dezvoltator imobiliar,Apartament cu 2 camere,Apartament cu living,75 m²,Construcţii noi,12,12,,,,250 000€,,,,,,,0 m²,0 m²,0 cm
Agenție,Apartament cu 3 camere,,67 m²,Secundar,6,11,Reparație cosmetică,2,Deschis,97 000€,1,Individuală,,Cotileț,,,,,
Persoană fizică,Apartament cu 2 camere,,50 m²,Secundar,3,5,Euroreparație,,Deschis,129 900€,2,Individuală,,,Se acceptă copii,Se acceptă animale,,,
Agenție,Apartament cu 3 camere,,108 m²,Construcţii noi,9,10,Construcție nefinisată,2,Deschis,124 500€,1,Individuală,Lagmar Impex,Combinat,,,,,
Dezvoltator imobiliar,Apartament cu 3 camere,Apartament cu living,84 m²,Construcţii noi,3,9,Variantă albă,,Subterană,104 000€,2,,,Cărămidă,,,,,275 cm
Agenție,Apartament cu 2 camere,,101 m²,Construcţii noi,12,15,Euroreparație,2,,1 300€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Dezvoltator imobiliar,Apartament cu 3 camere,Apartament cu living,66 m²,Construcţii noi,4,5,Variantă albă,,Garaj,62 700€,1,Individuală,,,,,,,
Agenție,Apartament cu 2 camere,,70 m²,Construcţii noi,6,10,Euroreparație,1,,135 000€,,,,,,,,,
Persoană fizică,Apartament cu 1 cameră,,48 m²,Construcţii noi,11,12,Euroreparație,,,600€,,,,,Se acceptă copii,Cu acordul stăpânului,,,
Agenție,Apartament cu 3 camere,Apartament cu living,95 m²,Construcţii noi,9,9,Euroreparație,2,,219 000€,,,,,,,,,
Agenție,Apartament cu 3 camere,,140 m²,Construcţii noi,7,8,Euroreparație,2,,2 800€,,,,,Se acceptă copii,Fără animale,0 m²,0 m²,0 cm
Agenție,Apartament cu 2 camere,Apartament cu living,72 m²,Construcţii noi,7,9,Euroreparație,,,158 000€,,,Reconscivil,,,,,,
Agenție,Apartament cu 2 camere,,72 m²,Construcţii noi,Demisol,12,Variantă albă,2,,137 900€,1,,,,,,,,
Agenție,Apartament cu 3 camere,,75 m²,Construcţii noi,3,11,,,,800MDL,,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 2 camere,,52 m²,Secundar,2,9,Euroreparație,1,Deschis,88 000€,1,,,,,,,,
Agenție,Apartament cu 1 cameră,,30 m²,Secundar,5,5,Euroreparație,1,Deschis,55 000€,,Individuală,,Cotileț,,,,,
Persoană fizică,Apartament cu 1 cameră,,20 m²,Secundar,5,6,Euroreparație,1,Deschis,500MDL,Nu,Individuală,,Cotileț,Se acceptă copii,Fără animale,20 m²,,
Agenție,Apartament cu 3 camere,,70 m²,Secundar,1,9,Euroreparație,2,Deschis,104 900€,2,,,,,,,,
Agenție,Apartament cu 1 cameră,,55 m²,Construcţii noi,5,14,Euroreparație,1,Deschis,750€,1,,Coliseum Palace,,Se acceptă copii,Se acceptă animale,,,
Agenție,Apartament cu 3 camere,Apartament cu living,98 m²,Construcţii noi,3,9,Euroreparație,2,,700€,2,,,,Se acceptă copii,Fără animale,,,
Persoană fizică,Apartament cu 3 camere,,63 m²,Secundar,8,10,,2,,530€,2,Ms (serie  moldovenească),,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 1 cameră,Apartament cu living,52 m²,Construcţii noi,1,12,Euroreparație,1,Deschis,123 000€,,,Basconslux,,,,,,
Dezvoltator imobiliar,Apartament cu 2 camere,,63 m²,Construcţii noi,5,15,Design individual,,,800MDL,1,,,,Se acceptă copii,Fără animale,,,
Persoană fizică,Apartament cu 1 cameră,Apartament cu living,65 m²,Construcţii noi,2,6,Design individual,,Subterană,850€,,Individuală,,Cărămidă,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 3 camere,Apartament fără living,57 m²,Secundar,4,5,Fără reparație,2,Deschis,74 000€,1,Brj (Brejnevka),,Cotileț,,,,,
Agenție,Apartament cu 1 cameră,,47 m²,Construcţii noi,3,10,Euroreparație,1,,500€,,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 2 camere,Apartament cu living,67 m²,Construcţii noi,7,11,Euroreparație,1,Deschis,1 300€,1,,,,Se acceptă copii,Fără animale,,,
Dezvoltator imobiliar,Apartament cu 1 cameră,,20 m²,Secundar,1,1,,,,75MDL,,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 2 camere,,45 m²,Secundar,2,5,Euroreparație,1,Deschis,99 900€,Nu,Individuală,,Cotileț,,,,,
