price,total_area,number_of_rooms,apartment_condition,housing_fund,region,living_room,parking_spot,number_of_floors,bathroom,floor,is_penthouse,compartmentalization
70000,40,3,5,1,42,-1,-1,16.0,1.0,16.0,0,8
135000,75,3,8,0,43,-1,0,9.0,1.0,7.0,0,8
143000,103,3,7,0,43,-1,0,9.0,2.0,5.0,0,8
210000,73,3,-1,0,47,0,-1,13.0,1.0,7.0,0,8
169900,84,3,5,0,44,-1,0,12.0,2.0,3.0,0,8
57288,46,2,8,0,45,-1,0,8.0,1.0,7.0,0,8
185000,83,3,5,0,47,0,0,11.0,1.0,5.0,0,8
43500,23,2,-1,1,41,-1,-1,5.0,1.0,4.0,0,8
168000,80,3,5,0,43,0,-1,16.0,1.0,11.0,0,8
169900,43,2,5,0,43,0,0,12.0,1.0,6.0,0,8
124900,81,4,5,0,44,0,0,16.0,2.0,16.0,0,8
102900,52,3,5,1,41,-1,0,9.0,2.0,7.0,0,9
155900,64,3,5,0,47,-1,0,9.0,1.0,5.0,0,8
95900,42,2,-1,0,42,0,-1,8.0,1.0,8.0,0,8
94240,76,4,-1,0,42,-1,-1,7.0,1.0,7.0,0,8
229000,95,4,-1,0,44,0,3,20.0,2.0,13.0,0,8
65000,33,2,5,1,44,0,0,16.0,1.0,9.0,0,8
77190,83,3,8,0,59,0,3,8.0,2.0,3.0,0,8
105000,55,2,8,0,42,-1,0,11.0,1.0,9.0,0,8
93800,54,2,-1,0,47,-1,-1,15.0,1.0,14.0,0,8
83000,67,3,8,0,41,0,3,9.0,1.0,3.0,0,8
170000,47,4,7,1,43,0,0,2.0,1.0,1.0,0,8
280000,140,5,8,0,47,0,-1,17.0,2.0,16.0,0,8
129960,86,4,8,0,41,0,3,10.0,2.0,4.0,0,8
77800,52,4,8,1,41,-1,0,5.0,2.0,2.0,0,3
115000,56,2,5,0,41,-1,0,17.0,1.0,7.0,0,8
146500,64,4,5,0,49,-1,0,10.0,1.0,10.0,0,8
38900,22,2,5,1,43,-1,0,2.0,1.0,1.0,0,8
45500,46,2,8,0,45,-1,-1,9.0,1.0,8.0,0,8
340000,120,4,5,0,47,-1,-1,17.0,2.0,12.0,0,8
139000,67,3,-1,0,43,0,-1,4.0,1.0,3.0,0,8
62500,64,3,-1,0,96,0,0,6.0,1.0,6.0,0,8
129500,75,4,5,0,49,-1,-1,7.0,2.0,7.0,0,8
69000,46,3,5,1,42,0,-1,7.0,1.0,7.0,0,8
220000,93,3,5,0,43,-1,-1,9.0,2.0,9.0,0,8
62000,65,3,8,0,45,0,3,10.0,1.0,4.0,0,8
64000,35,2,5,0,41,1,-1,10.0,1.0,4.0,0,8
94146,69,3,8,0,41,-1,-1,12.0,1.0,6.0,0,8
129000,80,3,5,0,41,0,0,6.0,1.0,2.0,0,8
32900,18,1,-1,1,42,-1,-1,5.0,1.0,4.0,0,8
108000,40,2,-1,0,41,-1,-1,15.0,1.0,12.0,0,8
99000,54,3,6,1,41,-1,0,9.0,2.0,7.0,0,8
119000,60,3,5,1,42,0,0,5.0,1.0,2.0,0,0
97000,82,5,0,1,48,-1,-1,9.0,2.0,7.0,0,1
105000,71,3,5,1,44,-1,0,9.0,2.0,1.0,0,1
215000,86,4,5,0,43,-1,-1,10.0,2.0,1.0,0,8
37000,160,6,-1,1,86,-1,1,2.0,2.0,1.0,0,8
180000,65,3,-1,0,44,0,-1,13.0,1.0,12.0,0,8
106650,84,4,8,0,41,0,3,9.0,1.0,3.0,0,8
183900,65,3,5,0,47,-1,-1,11.0,1.0,9.0,0,8
172000,49,2,8,0,43,-1,-1,8.0,1.0,5.0,0,8
45423,44,2,8,0,45,-1,0,9.0,1.0,4.0,0,8
67400,53,2,-1,0,42,-1,-1,5.0,1.0,4.0,0,8
54900,38,2,5,1,42,-1,-1,5.0,1.0,5.0,0,8
120000,97,4,8,0,45,-1,-1,6.0,2.0,4.0,0,8
119800,62,3,-1,0,44,-1,-1,11.0,1.0,6.0,0,8
44900,44,3,-1,1,23,-1,-1,5.0,1.0,1.0,0,8
118900,79,3,-1,0,47,-1,-1,15.0,1.0,4.0,0,8
91900,41,2,5,0,78,-1,0,10.0,1.0,2.0,0,8
109999,60,3,5,1,43,-1,0,2.0,1.0,2.0,0,8
142000,79,3,5,0,46,0,-1,9.0,1.0,7.0,0,8
52800,44,2,8,0,45,-1,-1,7.0,1.0,1.0,0,8
89050,65,3,8,0,47,-1,-1,14.0,2.0,13.0,0,8
85000,86,3,8,0,42,0,0,4.0,1.0,3.0,0,8
99319,106,3,8,0,99,0,3,4.0,2.0,4.0,0,8
165000,75,4,5,0,43,0,3,14.0,1.0,2.0,0,8
160000,70,3,-1,0,47,-1,-1,11.0,1.0,9.0,0,8
119000,60,3,-1,1,42,0,-1,5.0,1.0,5.0,0,8
67600,49,2,8,0,41,0,3,9.0,1.0,3.0,0,8
97900,48,2,5,0,45,0,0,7.0,1.0,2.0,0,8
71999,65,4,5,1,27,1,0,5.0,1.0,2.0,0,2
86500,55,3,7,1,44,-1,-1,9.0,1.0,1.0,0,1
67000,46,3,7,1,41,-1,0,5.0,1.0,4.0,0,7
69000,46,2,8,0,47,-1,-1,16.0,1.0,15.0,0,8
106650,84,4,8,0,40,0,3,9.0,1.0,3.0,0,8
390000,156,4,8,0,47,-1,3,5.0,2.0,5.0,0,8
95000,55,3,5,0,99,-1,0,8.0,1.0,1.0,0,8
76500,49,2,8,0,47,-1,-1,9.0,2.0,5.0,0,8
105000,75,3,8,0,45,0,0,7.0,1.0,2.0,0,8
254000,85,3,5,0,47,0,3,17.0,2.0,8.0,0,8
40000,38,2,8,0,45,1,0,9.0,1.0,7.0,0,8
188000,87,3,5,0,47,0,0,14.0,2.0,5.0,0,8
65272,35,2,5,0,41,-1,3,9.0,1.0,1.0,0,8
104000,84,4,8,0,41,0,3,9.0,1.0,3.0,0,8
166500,83,3,5,0,41,0,0,11.0,2.0,1.0,0,8
244000,114,4,4,0,41,-1,-1,10.0,2.0,2.0,0,8
135000,97,4,8,0,44,0,-1,22.0,2.0,1.0,0,8
135000,70,3,5,0,41,-1,-1,10.0,1.0,6.0,0,8
141500,65,3,5,0,49,-1,0,7.0,1.0,3.0,0,8
107000,58,3,-1,1,41,0,-1,2.0,1.0,2.0,0,8
72900,40,3,-1,1,42,-1,-1,16.0,1.0,16.0,0,8
93500,43,2,5,0,47,-1,0,13.0,1.0,4.0,0,8
195000,90,4,5,0,44,0,0,10.0,2.0,2.0,0,8
165000,69,3,4,0,42,0,-1,10.0,1.0,6.0,0,8
94900,47,3,5,1,43,-1,-1,5.0,1.0,1.0,0,8
31900,21,1,-1,1,41,-1,-1,5.0,1.0,5.0,0,8
169900,70,3,5,0,42,-1,0,13.0,1.0,4.0,0,8
25500,13,1,5,1,41,-1,0,5.0,1.0,1.0,0,8
63000,35,2,7,1,49,-1,0,5.0,1.0,5.0,0,3
38500,24,2,-1,1,41,-1,-1,6.0,1.0,2.0,0,8
90720,67,3,2,0,79,-1,0,6.0,2.0,5.0,0,8
60000,40,2,2,0,49,-1,0,9.0,1.0,2.0,0,8
109000,70,3,-1,1,47,-1,0,5.0,1.0,1.0,0,8
146900,64,4,-1,0,49,-1,-1,11.0,1.0,11.0,0,8
24200,33,2,-1,1,31,-1,-1,5.0,1.0,5.0,0,8
87000,60,3,8,0,47,-1,-1,16.0,1.0,2.0,0,8
63750,49,2,8,0,49,-1,-1,9.0,1.0,4.0,0,8
75000,45,2,5,0,126,0,-1,16.0,1.0,12.0,0,8
74400,60,4,-1,0,42,-1,-1,7.0,1.0,7.0,0,8
130900,136,5,8,0,45,0,0,6.0,2.0,6.0,0,8
104000,63,3,-1,1,47,0,0,5.0,1.0,3.0,0,8
142900,64,3,5,0,49,0,-1,10.0,1.0,9.0,0,8
89999,35,2,5,0,42,1,-1,11.0,1.0,2.0,0,8
135000,51,2,5,0,43,0,0,11.0,1.0,8.0,0,8
43200,48,2,8,0,108,-1,3,6.0,1.0,5.0,0,8
184900,70,3,5,0,42,-1,0,10.0,1.0,8.0,0,8
38346,46,2,8,0,66,0,3,7.0,1.0,3.0,0,8
109800,90,4,8,0,40,-1,3,9.0,1.0,3.0,0,8
80900,63,3,-1,0,45,-1,-1,9.0,1.0,4.0,0,8
127900,58,3,5,1,42,0,0,9.0,2.0,8.0,0,8
234999,109,4,5,0,43,-1,0,10.0,2.0,6.0,0,8
89000,80,4,8,0,46,0,-1,14.0,2.0,8.0,0,8
72900,66,3,8,0,46,1,3,9.0,2.0,4.0,0,8
109900,70,4,-1,1,44,0,-1,9.0,1.0,7.0,0,8
69000,99,4,8,0,53,-1,-1,5.0,1.0,4.0,0,8
49999,33,3,0,1,41,-1,0,2.0,1.0,2.0,0,8
70400,50,2,-1,0,41,-1,-1,10.0,1.0,4.0,0,8
82000,44,3,7,1,49,1,0,5.0,1.0,3.0,0,8
198500,82,3,5,0,41,-1,0,15.0,2.0,11.0,0,8
175000,70,3,5,0,42,-1,0,9.0,1.0,5.0,0,8
131000,71,3,8,0,42,-1,0,13.0,2.0,7.0,0,8
100000,50,3,5,0,43,-1,1,1.0,1.0,1.0,0,10
250000,102,4,5,1,43,0,0,5.0,2.0,4.0,0,8
67900,41,2,8,0,78,1,0,7.0,1.0,3.0,0,8
27000,35,3,7,1,125,-1,-1,2.0,1.0,2.0,0,8
86999,34,2,6,1,43,-1,0,4.0,1.0,2.0,0,8
110000,39,2,5,0,43,0,0,12.0,1.0,3.0,0,8
31500,23,2,5,1,41,1,0,5.0,1.0,3.0,0,4
75000,56,3,8,0,45,0,0,10.0,1.0,5.0,0,8
84000,42,2,8,0,47,-1,0,10.0,1.0,5.0,0,8
179999,80,3,5,0,41,0,-1,14.0,1.0,6.0,0,5
37500,20,2,5,1,41,1,0,9.0,1.0,4.0,0,8
65000,70,3,5,1,20,0,0,2.0,1.0,2.0,0,8
209888,70,3,5,0,42,0,0,6.0,1.0,2.0,0,8
97000,50,2,4,0,41,-1,0,10.0,2.0,2.0,0,8
99900,51,2,-1,1,47,-1,-1,5.0,1.0,2.0,0,8
78500,54,3,8,0,44,-1,-1,9.0,1.0,6.0,0,8
48900,25,2,5,1,41,-1,-1,12.0,1.0,11.0,0,8
105500,45,3,-1,0,47,-1,-1,4.0,1.0,3.0,0,8
86400,86,4,8,0,144,-1,-1,9.0,1.0,3.0,0,8
80000,63,4,8,0,41,-1,0,10.0,1.0,6.0,0,8
209000,89,3,-1,0,44,-1,0,10.0,2.0,9.0,0,8
89500,51,3,5,1,41,-1,0,9.0,2.0,8.0,0,8
124500,47,2,5,0,44,-1,0,10.0,2.0,8.0,0,8
98000,70,4,7,1,41,0,0,9.0,1.0,7.0,0,2
471000,131,4,5,0,43,0,0,12.0,2.0,10.0,0,8
115000,49,2,5,0,44,-1,0,20.0,1.0,8.0,0,8
60000,50,2,8,0,25,0,1,8.0,1.0,3.0,0,8
89000,40,2,5,0,45,0,0,10.0,1.0,7.0,0,8
499000,132,3,5,0,43,0,0,8.0,2.0,3.0,0,8
119900,50,2,5,0,46,0,0,11.0,1.0,5.0,0,8
81000,36,2,5,0,44,-1,0,9.0,1.0,7.0,0,8
200000,99,4,8,0,45,0,3,4.0,2.0,2.0,0,8
115900,58,3,-1,0,42,0,-1,9.0,1.0,6.0,0,8
35900,22,2,7,1,47,-1,-1,5.0,1.0,1.0,0,8
89320,61,3,8,0,79,-1,1,8.0,1.0,1.0,0,8
105000,55,2,8,0,42,0,0,10.0,1.0,9.0,0,8
169000,111,4,5,0,44,0,-1,9.0,1.0,4.0,0,8
119000,46,2,4,0,44,-1,0,22.0,1.0,19.0,0,8
37998,42,2,8,0,26,-1,0,7.0,1.0,6.0,0,8
60000,79,3,5,1,49,1,0,3.0,1.0,1.0,0,8
99900,55,3,5,1,44,-1,0,10.0,2.0,10.0,0,9
134900,64,3,5,0,46,-1,3,10.0,2.0,2.0,0,8
101900,44,3,5,1,49,1,0,5.0,1.0,4.0,0,8
104900,50,3,5,1,43,0,0,10.0,2.0,9.0,0,8
116000,69,3,8,0,44,0,-1,15.0,1.0,3.0,0,8
175000,70,3,4,0,42,0,0,7.0,1.0,4.0,0,8
245000,76,3,5,0,49,0,-1,16.0,1.0,9.0,0,8
86900,60,3,5,0,45,-1,0,5.0,1.0,5.0,0,8
158400,88,3,5,0,49,0,3,12.0,1.0,8.0,0,8
57000,72,3,7,0,32,-1,-1,5.0,1.0,5.0,0,8
71900,30,2,-1,1,43,0,-1,1.0,1.0,1.0,0,8
77900,42,3,7,1,47,-1,0,5.0,1.0,2.0,0,8
160000,70,4,5,0,47,0,0,14.0,2.0,10.0,0,8
52500,70,4,7,1,121,1,0,5.0,1.0,2.0,0,8
76150,51,2,8,0,47,-1,3,16.0,1.0,10.0,0,8
179500,79,3,4,1,43,0,0,7.0,2.0,2.0,0,8
99900,50,3,5,1,44,0,0,10.0,2.0,10.0,0,9
83000,46,3,7,1,49,1,0,5.0,1.0,5.0,0,8
115000,83,4,4,1,47,-1,0,5.0,1.0,5.0,0,5
76000,67,3,5,0,27,-1,0,3.0,1.0,3.0,0,8
66900,36,2,-1,1,43,-1,-1,9.0,1.0,1.0,0,8
107000,47,3,5,1,41,0,0,5.0,1.0,2.0,0,8
119000,80,3,5,0,150,-1,0,10.0,2.0,7.0,0,8
185000,54,2,5,0,43,0,-1,4.0,1.0,1.0,0,8
197500,79,4,-1,0,43,-1,-1,5.0,1.0,3.0,0,8
70000,39,3,5,1,42,-1,-1,16.0,1.0,16.0,0,8
94900,48,3,5,1,49,0,0,5.0,1.0,1.0,0,8
209000,101,4,5,0,44,-1,-1,10.0,2.0,1.0,0,8
169900,76,4,5,0,42,0,0,10.0,1.0,7.0,0,8
30240,21,2,8,0,46,-1,3,5.0,1.0,2.0,0,8
195000,74,3,5,0,41,0,0,12.0,1.0,9.0,0,8
108600,73,3,8,0,45,0,3,10.0,2.0,3.0,0,8
28900,30,2,5,1,26,-1,-1,5.0,1.0,2.0,0,8
584999,163,5,5,0,43,0,3,7.0,2.0,6.0,0,8
33000,20,2,7,1,44,-1,-1,9.0,1.0,1.0,0,8
150000,120,4,8,0,47,-1,0,16.0,2.0,16.0,0,8
190000,68,3,5,0,41,1,0,10.0,1.0,10.0,0,8
119000,53,2,5,0,42,0,-1,10.0,2.0,4.0,0,8
95000,55,3,-1,1,42,-1,-1,9.0,1.0,8.0,0,8
114900,63,3,5,0,41,0,0,9.0,1.0,5.0,0,8
100000,55,3,-1,1,44,0,-1,10.0,1.0,10.0,0,8
159000,93,3,5,0,49,-1,0,14.0,1.0,6.0,0,8
173000,79,3,5,0,44,0,-1,11.0,1.0,11.0,0,8
124000,72,4,5,1,43,-1,-1,9.0,1.0,8.0,0,8
110000,122,4,5,0,45,-1,0,5.0,1.0,4.0,0,8
124900,70,4,7,1,41,-1,-1,5.0,2.0,4.0,0,8
34000,22,2,7,1,41,-1,0,5.0,1.0,2.0,0,6
149000,85,3,5,0,49,0,-1,5.0,1.0,1.0,0,8
69300,45,2,8,0,47,-1,-1,16.0,1.0,8.0,0,8
44900,28,2,5,1,42,-1,0,5.0,1.0,2.0,0,8
90000,54,2,8,0,44,-1,-1,15.0,1.0,3.0,0,8
89500,48,2,5,0,41,-1,-1,10.0,1.0,5.0,0,8
164900,96,4,-1,0,44,-1,-1,10.0,1.0,10.0,0,8
219900,11,5,5,0,41,-1,0,9.0,2.0,4.0,0,8
93800,73,3,8,0,42,0,0,5.0,1.0,4.0,0,8
67900,32,2,5,1,41,0,-1,5.0,1.0,5.0,0,8
85700,67,3,8,0,78,-1,0,6.0,2.0,4.0,0,8
149900,45,2,5,0,43,0,3,9.0,1.0,4.0,0,8
52250,55,2,8,0,49,-1,0,10.0,1.0,7.0,0,8
53900,30,2,-1,1,49,-1,-1,5.0,1.0,5.0,0,8
78000,70,3,7,1,46,-1,-1,2.0,1.0,2.0,0,8
68500,33,2,5,1,41,-1,-1,5.0,1.0,5.0,0,8
116500,43,2,5,0,49,0,0,12.0,1.0,10.0,0,8
106000,41,2,5,1,43,-1,-1,6.0,1.0,6.0,0,8
127000,79,3,-1,0,41,-1,-1,16.0,1.0,15.0,0,8
92880,87,4,8,0,47,0,3,9.0,2.0,1.0,0,8
61800,46,2,-1,0,49,-1,-1,9.0,1.0,3.0,0,8
34900,36,1,7,1,44,-1,0,5.0,1.0,5.0,0,8
84380,85,4,8,0,99,-1,3,4.0,1.0,2.0,0,8
109500,48,2,5,0,42,0,-1,9.0,1.0,5.0,0,8
25900,22,2,-1,0,44,-1,-1,5.0,1.0,3.0,0,8
93720,69,3,2,0,41,-1,0,12.0,2.0,4.0,0,8
168000,65,3,5,0,43,-1,0,14.0,1.0,8.0,0,8
62500,35,2,5,1,41,0,-1,7.0,1.0,6.0,0,8
71000,46,2,5,0,1,-1,0,4.0,1.0,2.0,0,8
110000,71,4,9,0,43,-1,-1,5.0,1.0,1.0,0,8
73600,65,3,8,0,90,-1,0,9.0,1.0,6.0,0,8
36900,80,4,-1,1,75,-1,0,9.0,2.0,8.0,0,8
115900,50,3,-1,1,44,-1,-1,9.0,1.0,6.0,0,8
99500,45,2,5,0,49,0,0,10.0,1.0,5.0,0,8
69100,49,2,8,0,41,0,3,9.0,1.0,3.0,0,8
78000,33,2,-1,1,47,0,-1,5.0,1.0,5.0,0,8
84000,74,4,5,1,26,-1,0,9.0,1.0,4.0,0,8
48000,26,2,5,1,40,-1,-1,3.0,1.0,3.0,0,8
29900,18,1,5,1,41,-1,0,5.0,1.0,5.0,0,8
82800,72,4,6,0,47,0,-1,15.0,1.0,10.0,0,8
210000,78,3,3,0,43,0,-1,13.0,2.0,10.0,0,8
116600,53,2,5,0,44,-1,-1,17.0,1.0,15.0,0,8
152250,87,4,3,0,43,0,-1,12.0,2.0,2.0,0,8
82530,63,3,8,0,49,-1,-1,9.0,2.0,6.0,0,8
179000,85,4,5,0,42,0,0,9.0,2.0,7.0,0,8
95000,56,3,7,1,41,-1,0,9.0,2.0,8.0,0,2
250000,82,4,5,0,44,-1,-1,13.0,1.0,13.0,0,8
128870,50,3,5,1,44,-1,0,10.0,2.0,2.0,0,8
59500,40,2,5,1,99,0,0,6.0,1.0,4.0,0,8
112000,45,3,5,0,49,-1,-1,10.0,1.0,5.0,0,8
165000,73,3,5,0,44,-1,0,8.0,1.0,7.0,0,8
77000,63,3,2,0,99,0,0,10.0,2.0,7.0,0,8
51000,40,2,8,0,53,0,-1,8.0,1.0,8.0,0,8
134900,72,4,5,1,41,-1,-1,5.0,2.0,4.0,0,0
83000,50,3,-1,1,42,-1,-1,5.0,1.0,5.0,0,8
172900,82,3,5,0,41,-1,0,16.0,1.0,8.0,0,8
32000,46,3,7,1,50,-1,0,2.0,1.0,1.0,0,8
85400,58,3,7,1,43,-1,0,10.0,2.0,10.0,0,9
130850,73,3,8,0,42,0,-1,12.0,1.0,12.0,0,8
46000,38,2,-1,0,45,-1,-1,9.0,1.0,1.0,0,8
64500,75,4,2,0,64,-1,0,6.0,2.0,2.0,0,8
133000,66,3,7,0,41,-1,-1,12.0,1.0,6.0,0,8
87000,67,3,8,0,41,0,3,9.0,1.0,3.0,0,8
85000,40,2,-1,1,44,0,-1,9.0,1.0,8.0,0,8
145000,85,3,5,0,45,0,0,10.0,1.0,8.0,0,8
121500,78,3,8,0,47,-1,-1,15.0,1.0,2.0,0,8
69900,54,3,7,1,46,-1,-1,5.0,1.0,4.0,0,0
38000,70,2,-1,1,27,-1,-1,2.0,1.0,2.0,0,8
245000,92,4,4,0,44,-1,0,10.0,2.0,7.0,0,8
98000,83,4,8,0,46,-1,-1,10.0,1.0,5.0,0,8
72900,73,4,8,0,45,-1,-1,10.0,2.0,7.0,0,8
98550,56,3,2,0,47,0,-1,15.0,1.0,7.0,0,8
23000,66,4,0,1,131,0,0,2.0,1.0,2.0,0,2
149000,75,3,8,0,41,-1,0,10.0,1.0,10.0,0,8
234000,101,3,5,0,44,0,0,12.0,1.0,2.0,0,8
235000,63,3,5,0,43,0,3,8.0,1.0,4.0,0,8
47000,40,2,-1,1,2,-1,-1,4.0,1.0,1.0,0,8
82400,72,3,8,0,45,-1,-1,11.0,1.0,5.0,1,8
86500,45,3,-1,1,47,-1,-1,5.0,1.0,3.0,0,8
102500,48,2,5,0,47,-1,0,10.0,1.0,1.0,0,8
114000,46,2,5,0,41,-1,3,15.0,1.0,6.0,0,8
74000,53,3,5,1,108,-1,0,9.0,2.0,8.0,0,8
117600,49,3,5,1,44,-1,0,9.0,2.0,4.0,0,8
66000,49,2,8,0,41,0,3,9.0,1.0,3.0,0,8
259000,80,4,5,0,43,-1,0,10.0,1.0,2.0,0,8
185000,89,3,5,1,43,0,3,9.0,1.0,8.0,0,8
127900,60,3,5,1,42,-1,-1,9.0,1.0,8.0,0,8
94300,82,4,8,0,44,-1,-1,9.0,1.0,1.0,0,8
124016,77,3,8,0,47,0,0,15.0,1.0,5.0,0,8
126500,71,4,7,1,44,-1,0,10.0,2.0,6.0,0,9
25000,28,2,-1,1,124,-1,-1,2.0,1.0,1.0,0,8
135900,60,3,5,1,47,-1,0,13.0,1.0,11.0,0,8
178900,75,3,5,0,44,0,-1,10.0,1.0,8.0,0,8
165000,90,3,5,0,41,0,0,4.0,1.0,1.0,0,8
115900,56,3,5,1,47,-1,0,5.0,1.0,5.0,0,5
148900,65,3,5,0,41,0,-1,12.0,1.0,10.0,0,8
89900,49,2,5,0,49,-1,0,8.0,1.0,1.0,0,8
