animals,author_of_the_announcement,balcony_loggia,compartmentalization,children,developer,floor,housing_fund,bathroom,ceiling_height,living_room,parking_spot,number_of_rooms,number_of_floors,apartment_condition,kitchen_area,living_area,total_area,building_type,price
,Persoană fizică,1,Hruşciovka,,,2,Secundar,1,,,,Apartament cu 2 camere,2.0,Fără reparație,,30 m²,32 m²,Cotileț,16000
,Agenție,,,,,7,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,10.0,Euroreparație,,,40 m²,,85900
,Agenție,,,,,10,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,12.0,Euroreparație,,,52 m²,,112900
,Agenție,1,,,,5,Secundar,1,,Apartament cu living,,Apartament cu 1 cameră,5.0,Euroreparație,,,32 m²,,67900
,Agenție,Nu,,,,5,Secundar,1,,Apartament fără living,Deschis,Apartament cu 2 camere,6.0,Reparație cosmetică,,,36 m²,Cotileț,54500
,Agenție,,,,,2,Construcţii noi,1,,,,Apartament cu 1 cameră,9.0,Variantă albă,,,48 m²,,47600
,Agenție,1,,,,11,Construcţii noi,2,,,,Apartament cu 2 camere,13.0,Variantă albă,,,75 m²,,134900
,Persoană fizică,1,,,,5,Construcţii noi,,,,Subterană,Apartament cu 2 camere,10.0,,,,64 m²,,70400
,Persoană fizică,,,,,9,Secundar,,,,,Apartament cu 2 camere,9.0,,,,54 m²,,120000
,Agenție,,,,,11,Construcţii noi,1,,,,Apartament cu 1 cameră,11.0,Euroreparație,,,49 m²,,90000
,Agenție,1,,,,3,Construcţii noi,1,,,,Apartament cu 3 camere,18.0,Variantă albă,,,98 m²,,143500
,Agenție,Nu,Individuală,,,5,Construcţii noi,1,,Apartament cu living,Subterană,Apartament cu 3 camere,10.0,Design individual,,,90 m²,,225000
,Persoană fizică,1,,,Estate Invest Company,8,Construcţii noi,,,Apartament cu living,,Apartament cu 3 camere,12.0,Design individual,,,72 m²,Cărămidă,158000
,Agenție,,,,Eldorado Terra,4,Construcţii noi,,,,,Apartament cu 2 camere,12.0,,,,52 m²,,110000
,Dezvoltator imobiliar,1,Individuală,,,5,Construcţii noi,2,,,,Apartament cu 2 camere,12.0,Variantă albă,,,70 m²,,95900
,Agenție,1,,,Kirsan,4,Construcţii noi,2,,,Subterană,Apartament cu 3 camere,10.0,Euroreparație,,,80 m²,,180000
,Agenție,1,,,,9,Secundar,2,,,,Apartament cu 2 camere,9.0,Euroreparație,,,55 m²,,105000
,Agenție,1,,,,5,Construcţii noi,1,,,,Apartament cu 2 camere,5.0,Euroreparație,,,75 m²,,175900
,Persoană fizică,,,,,5,Secundar,1,,,,Apartament cu 1 cameră,5.0,Euroreparație,,,21 m²,,26000
,Agenție,Nu,Individuală,,,12,Construcţii noi,2,,,Deschis,Apartament cu 2 camere,12.0,Variantă albă,,,89 m²,,89000
,Agenție,2,Individuală,,,5,Construcţii noi,,,,,Apartament cu 3 camere,9.0,Variantă albă,,85 m²,85 m²,,85000
,Agenție,1,Individuală,,,12,Construcţii noi,1,,,,Apartament cu 2 camere,12.0,Euroreparație,,,65 m²,,179500
,Agenție,2,,,,5,Secundar,2,,Apartament fără living,Deschis,Apartament cu 3 camere,10.0,Reparație cosmetică,,,78 m²,,107000
,Agenție,1,,,,8,Construcţii noi,1,,Apartament cu living,Subterană,Apartament cu 1 cameră,10.0,Variantă albă,,53 m²,53 m²,Cărămidă,55650
,Agenție,1,Individuală,,,7,Construcţii noi,1,,,,Apartament cu 1 cameră,9.0,Variantă albă,,,50 m²,,99000
,Agenție,,,,,7,Secundar,,,,Deschis,Apartament cu 2 camere,9.0,,,,55 m²,,79900
,Agenție,1,,,,11,Construcţii noi,1,280 cm,Apartament cu living,,Apartament cu 2 camere,13.0,Construcție nefinisată,29 m²,,58 m²,,85000
,Agenție,1,Hruşciovka,,,4,Secundar,2,,,Deschis,Apartament cu 2 camere,4.0,Reparație cosmetică,,,43 m²,Cotileț,64900
,Persoană fizică,1,,,,6,Construcţii noi,3,0 cm,Apartament cu living,Subterană,Apartament cu 4 camere,7.0,Euroreparație,0 m²,0 m²,113 m²,,340000
,Agenție,1,,,,8,Construcţii noi,2,,,,Apartament cu 4 camere,15.0,Euroreparație,,,120 m²,,200000
,Agenție,1,,,Exfactor-grup,9,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 2 camere,12.0,Euroreparație,,,75 m²,,176900
,Agenție,,Ms (serie  moldovenească),,,1,Secundar,,,,,Apartament cu 2 camere,11.0,,,,54 m²,,82000
,Agenție,1,,,,3,Construcţii noi,2,,,,Apartament cu 2 camere,9.0,Euroreparație,,,72 m²,,154900
,Agenție,,,,,5,Construcţii noi,2,,,Deschis,Apartament cu 2 camere,12.0,Euroreparație,,,70 m²,,205000
,Agenție,,,,,2,Construcţii noi,,,,,Apartament cu 2 camere,5.0,,,,63 m²,,139900
,Agenție,Nu,,,,4,Construcţii noi,2,,,Deschis,Apartament cu 2 camere,12.0,Variantă albă,,,66 m²,,64600
,Agenție,1,Individuală,,,6,Construcţii noi,2,,,,Apartament cu 2 camere,10.0,Variantă albă,,66 m²,66 m²,Cărămidă,79200
,Dezvoltator imobiliar,,Individuală,,,1,Secundar,2,280 cm,Apartament cu living,Deschis,Apartament cu 2 camere,3.0,Euroreparație,7 m²,38 m²,50 m²,Cotileț,94900
,Agenție,,,,Astercon,9,Construcţii noi,2,,Apartament cu living,Subterană,Apartament cu 3 camere,9.0,Euroreparație,,,96 m²,,333000
,Agenție,2,,,,3,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,4.0,Variantă albă,24 m²,86 m²,86 m²,Combinat,83900
,Agenție,1,,,Lagmar Impex,8,Construcţii noi,1,,Apartament cu living,Subterană,Apartament cu 1 cameră,16.0,Variantă albă,,,46 m²,Cărămidă,69090
,Persoană fizică,1,,,,8,Secundar,2,,,,Apartament cu 2 camere,9.0,Reparație cosmetică,,,53 m²,,91500
Cu acordul stăpânului,Agenție,2,Individuală,Cu acordul stăpânului,,5,Construcţii noi,2,,,Deschis,Apartament cu 3 camere,10.0,Euroreparație,,,100 m²,,179800
,Agenție,,,,,5,Secundar,,,Apartament cu living,,Apartament cu 1 cameră,5.0,Euroreparație,,,35 m²,,68500
,Agenție,,Individuală,,Pro Invest Construct,5,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,6.0,Euroreparație,,,52 m²,Cărămidă,110900
,Agenție,1,Individuală,,,5,Secundar,1,,,Deschis,Apartament cu 1 cameră,5.0,Fără reparație,,,22 m²,,34000
,Agenție,1,Individuală,,Lagmar Impex,15,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,16.0,Construcție nefinisată,,,48 m²,Cărămidă,76500
,Agenție,1,,,,3,Construcţii noi,1,,,,Apartament cu 2 camere,13.0,Variantă albă,,,58 m²,Cărămidă,125000
,Agenție,1,,,,10,Secundar,2,,,Deschis,Apartament cu 2 camere,10.0,Euroreparație,,,55 m²,,99900
,Agenție,1,,,,2,Secundar,,,,,Apartament cu 2 camere,2.0,,,,70 m²,,78000
,Dezvoltator imobiliar,Nu,Individuală,,,7,Construcţii noi,1,,,Subterană,Apartament cu 1 cameră,11.0,Variantă albă,,,54 m²,Cotileț,59125
,Agenție,,,,,2,Construcţii noi,1,,,Deschis,Apartament cu 5 camere sau mai multe,12.0,Euroreparație,,,104 m²,,159500
,Agenție,1,Individuală,,,11,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,11.0,Euroreparație,,,78 m²,,135000
,Agenție,,,,,13,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,13.0,Design individual,,,77 m²,,135900
,Persoană fizică,1,,,,8,Construcţii noi,1,0 cm,Apartament cu living,Deschis,Apartament cu 1 cameră,10.0,Euroreparație,0 m²,0 m²,45 m²,,105000
,Dezvoltator imobiliar,1,Individuală,,,3,Construcţii noi,1,0 cm,Apartament cu living,Garaj,Apartament cu 2 camere,5.0,Variantă albă,0 m²,0 m²,71 m²,Cărămidă,64900
,Dezvoltator imobiliar,,,,Exfactor-grup,3,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 3 camere,12.0,Euroreparație,,,90 m²,,250000
,Persoană fizică,,,,,14,Secundar,,,,,Apartament cu 2 camere,16.0,Euroreparație,,,40 m²,,72900
,Agenție,,,,,9,Construcţii noi,1,0 cm,,Deschis,Apartament cu 1 cameră,14.0,Euroreparație,0 m²,0 m²,43 m²,,105900
,Agenție,1,,,,2,Construcţii noi,2,,,Subterană,Apartament cu 2 camere,12.0,Variantă albă,,,69 m²,,94530
,Agenție,1,,,,5,Secundar,1,,,Deschis,Apartament cu 1 cameră,5.0,Euroreparație,,,34 m²,,35500
,Agenție,,,,,11,Secundar,,,Apartament fără living,,O cameră,12.0,,,,36 m²,,48900
,Agenție,1,Individuală,,,11,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,18.0,Variantă albă,,,50 m²,,80000
,Agenție,2,,,,1,Construcţii noi,3,,Apartament cu living,Deschis,Apartament cu 2 camere,3.0,Euroreparație,,,80 m²,,94900
,Dezvoltator imobiliar,,,,,1,Secundar,,,,,Apartament cu 3 camere,5.0,,,,70 m²,,72000
,Dezvoltator imobiliar,1,Individuală,,Sky House,6,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,10.0,Euroreparație,10 m²,,38 m²,Cărămidă,95000
,Agenție,1,Individuală,,Lagmar Impex,3,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 2 camere,10.0,Euroreparație,,69 m²,69 m²,Combinat,159900
,Dezvoltator imobiliar,,,,,4,Secundar,,,,,Apartament cu 3 camere,5.0,Are nevoie de reparație,,,71 m²,Cotileț,32500
,Agenție,Nu,Individuală,,,1,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,17.0,Euroreparație,,,51 m²,Combinat,92000
,Agenție,,,,,1,Secundar,,,,Deschis,Apartament cu 1 cameră,3.0,Reparație cosmetică,,,25 m²,Cotileț,39900
,Dezvoltator imobiliar,,,,,1,Secundar,,,,,Apartament cu 2 camere,5.0,,,,52 m²,,70000
,Agenție,1,Individuală,,Estate Invest Company,11,Construcţii noi,2,,Apartament cu living,,Apartament cu 2 camere,12.0,Euroreparație,,,76 m²,Combinat,124500
,Agenție,1,,,Lagmar Impex,8,Construcţii noi,1,,Apartament cu living,Subterană,Apartament cu 1 cameră,16.0,Variantă albă,,,51 m²,,76230
,Agenție,,,,,8,Secundar,,,,,Apartament cu 3 camere,9.0,,,,69 m²,,89500
,Dezvoltator imobiliar,2,,,Exfactor-grup,3,Construcţii noi,2,275 cm,Apartament cu living,Subterană,Apartament cu 3 camere,9.0,Variantă albă,,,84 m²,Cărămidă,106650
,Persoană fizică,,,,,4,Construcţii noi,1,0 cm,,,Apartament cu 2 camere,9.0,Fără reparație,0 m²,83 m²,83 m²,,56000
,Agenție,2,,,,4,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 3 camere,10.0,Euroreparație,,,130 m²,,210000
,Dezvoltator imobiliar,2,,,,9,Construcţii noi,,275 cm,Apartament cu living,Subterană,Apartament cu 2 camere,9.0,Variantă albă,,,67 m²,Cărămidă,89100
,Agenție,1,Individuală,,Kirsan,9,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,11.0,Variantă albă,,,51 m²,Monolit,67000
,Persoană fizică,1,Ms (serie  moldovenească),,,8,Secundar,,,Apartament cu living,,Apartament cu 2 camere,10.0,Fără reparație,,56 m²,56 m²,Bloc,82000
,Dezvoltator imobiliar,2,,,,3,Construcţii noi,2,280 cm,,Subterană,Apartament cu 2 camere,9.0,Variantă albă,15 m²,35 m²,62 m²,Cărămidă,62000
,Agenție,,Individuală,,,9,Secundar,1,,,Deschis,Apartament cu 1 cameră,9.0,Euroreparație,,,24 m²,,32000
Se acceptă animale,Persoană fizică,,,Se acceptă copii,,10,Construcţii noi,1,300 cm,Apartament cu living,Subterană,O cameră,17.0,Design individual,,46 m²,46 m²,Combinat,61500
,Agenție,1,Individuală,,Basconslux,5,Construcţii noi,2,,,Deschis,Apartament cu 3 camere,10.0,Euroreparație,,,97 m²,Beton celular,179900
,Dezvoltator imobiliar,,,,,7,Construcţii noi,,0 cm,Apartament cu living,,Apartament cu 2 camere,10.0,,0 m²,0 m²,72 m²,,88000
,Agenție,2,Individuală,,Exfactor-grup,6,Construcţii noi,1,,,Subterană,Apartament cu 1 cameră,10.0,Construcție nefinisată,,,52 m²,Combinat,79900
,Agenție,,,,,4,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,16.0,,,,70 m²,,120000
,Dezvoltator imobiliar,,,,,3,Secundar,,,,,Apartament cu 1 cameră,5.0,,,,20 m²,,37000
,Agenție,,,,,7,Construcţii noi,,,,,Apartament cu 1 cameră,10.0,,,,40 m²,,85900
,Dezvoltator imobiliar,1,Individuală,,Inamstro,4,Construcţii noi,1,,Apartament cu living,,Apartament cu 2 camere,9.0,Variantă albă,,,81 m²,Beton,137870
,Dezvoltator imobiliar,1,Individuală,,,Penthouse,Construcţii noi,2,0 cm,Apartament cu living,,Apartament cu 4 camere,9.0,Variantă albă,40 m²,162 m²,162 m²,Cărămidă,162000
,Dezvoltator imobiliar,1,Individuală,,Dansicons,4,Construcţii noi,1,280 cm,,,Apartament cu 1 cameră,6.0,Dat în exploatare,16 m²,43 m²,43 m²,Combinat,38700
,Agenție,,,,,7,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,10.0,Variantă albă,,,47 m²,,75555
,Dezvoltator imobiliar,,,,,4,Construcţii noi,,,,,Apartament cu 2 camere,8.0,,,,69 m²,,92460
,Dezvoltator imobiliar,,,,,5,Construcţii noi,,,,,Apartament cu 1 cameră,8.0,,,,40 m²,,66000
,Persoană fizică,,Individuală,,,9,Secundar,2,,Apartament cu living,Deschis,Apartament cu 2 camere,11.0,Euroreparație,,,50 m²,Cotileț,98900
,Agenție,,,,,1,Secundar,1,,,,Apartament cu 2 camere,1.0,Reparație cosmetică,,,42 m²,,83000
,Persoană fizică,,,,,5,Secundar,,,,,Apartament cu 1 cameră,5.0,,,,31 m²,,27900
,Persoană fizică,1,,,,10,Construcţii noi,,300 cm,Apartament cu living,,Apartament cu 2 camere,12.0,Euroreparație,,,80 m²,,164400
,Dezvoltator imobiliar,,,,Horus,8,Construcţii noi,1,,,Subterană,Apartament cu 1 cameră,15.0,Variantă albă,19 m²,,46 m²,,74192
,Dezvoltator imobiliar,2,,,Exfactor-grup,3,Construcţii noi,,275 cm,Apartament fără living,Subterană,Apartament cu 2 camere,9.0,,,,67 m²,Cărămidă,89100
,Agenție,1,,,,5,Secundar,,0 cm,Apartament cu living,Deschis,Apartament cu 2 camere,5.0,Design individual,0 m²,44 m²,47 m²,,96900
,Agenție,1,,,Lagmar Impex,9,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,14.0,Euroreparație,,,69 m²,,185000
,Agenție,Nu,,,,1,Secundar,1,,,Deschis,Apartament cu 2 camere,5.0,Euroreparație,,,45 m²,,74900
,Dezvoltator imobiliar,,Individuală,,Volare Tur,2,Construcţii noi,2,,,Deschis,Apartament cu 2 camere,9.0,Variantă albă,,,69 m²,Combinat,125000
,Persoană fizică,,,,,2,Secundar,,,,,Apartament cu 2 camere,2.0,,,,38 m²,,32900
,Agenție,1,,,Exfactor-grup,3,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 2 camere,9.0,Euroreparație,,,72 m²,Cărămidă,154900
,Persoană fizică,1,St (Stalinka),,,3,Secundar,2,3 cm,,Garaj,Apartament cu 3 camere,3.0,Are nevoie de reparație,,,70 m²,Cotileț,87000
Se acceptă animale,Agenție,1,,Se acceptă copii,,2,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,4.0,Euroreparație,,,68 m²,,123000
,Dezvoltator imobiliar,,,,,11,Construcţii noi,,,,,Apartament cu 2 camere,16.0,,,,65 m²,,124900
,Dezvoltator imobiliar,,,,,3,Secundar,,,,,Apartament cu 1 cameră,5.0,,,,18 m²,,34500
,Agenție,,,,Lagmar Impex,8,Construcţii noi,,,,,Apartament cu 2 camere,16.0,,,,48 m²,,69000
,Agenție,,,,,3,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,9.0,Euroreparație,,,70 m²,,167900
,Agenție,1,Individuală,,Nicons,6,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,11.0,Euroreparație,,,61 m²,Combinat,115000
,Agenție,1,,,,8,Construcţii noi,2,,,,Apartament cu 2 camere,12.0,Variantă albă,,,78 m²,,136500
,Agenție,1,,,Lagmar Impex,2,Construcţii noi,1,0 cm,Apartament cu living,Subterană,Apartament cu 3 camere,14.0,Euroreparație,0 m²,0 m²,75 m²,,165000
,Agenție,,,,,2,Secundar,1,,,Deschis,Apartament cu 3 camere,5.0,Are nevoie de reparație,,,52 m²,,77500
Cu acordul stăpânului,Agenție,,Individuală,Cu acordul stăpânului,,7,Secundar,2,,,Deschis,Apartament cu 1 cameră,9.0,Euroreparație,,,37 m²,,78302
Se acceptă animale,Agenție,Nu,,Se acceptă copii,,2,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 2 camere,9.0,Variantă albă,,,73 m²,,92710
,Agenție,,,,,13,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,17.0,Euroreparație,,,46 m²,,155000
,Agenție,1,143,,,7,Secundar,2,,,,Apartament cu 2 camere,9.0,Reparație cosmetică,,,54 m²,,99000
,Agenție,1,,,,9,Secundar,2,,,Deschis,Apartament cu 3 camere,10.0,Reparație cosmetică,,,64 m²,,89900
,Persoană fizică,2,,,,2,Construcţii noi,2,3 cm,Apartament cu living,Subterană,Apartament cu 3 camere,3.0,Variantă albă,,90 m²,115 m²,Beton,180000
,Agenție,,,,,2,Secundar,,,,Garaj,Apartament cu 4 camere,1.0,Design individual,,,130 m²,,97000
,Agenție,1,,,,2,Secundar,2,,Apartament fără living,Deschis,Apartament cu 2 camere,5.0,Reparație cosmetică,,,48 m²,,86700
,Agenție,Nu,Individuală,,,5,Secundar,1,,,Deschis,Apartament cu 1 cameră,9.0,Euroreparație,,,22 m²,,34900
,Persoană fizică,,,,Comalion & Co,7,Construcţii noi,,,Apartament fără living,,Apartament cu 1 cameră,10.0,Euroreparație,,,50 m²,Monolit,115000
,Agenție,,,,,3,Construcţii noi,,,Apartament fără living,,Apartament cu 2 camere,20.0,Euroreparație,,,60 m²,,159000
,Agenție,,,,,9,Secundar,,,Apartament cu living,,Apartament cu 3 camere,10.0,Reparație cosmetică,,,67 m²,,89950
,Agenție,1,,,,4,Secundar,1,,,,Apartament cu 3 camere,5.0,Reparație cosmetică,,,72 m²,,132000
,Agenție,1,Ms (serie  moldovenească),,,5,Secundar,2,,,Deschis,Apartament cu 2 camere,5.0,Euroreparație,,,50 m²,Panou,82500
,Agenție,Nu,Individuală,,,5,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,9.0,Euroreparație,,,77 m²,,155500
,Persoană fizică,,,,Exfactor-grup,3,Construcţii noi,2,0 cm,Apartament cu living,,Apartament cu 3 camere,10.0,Design individual,0 m²,0 m²,90 m²,,250000
,Agenție,1,,,,9,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,10.0,,,,70 m²,,159900
,Agenție,,,,,5,Secundar,,,,,Apartament cu 3 camere,5.0,,,,52 m²,,44900
,Agenție,1,,,,4,Construcţii noi,2,,Apartament cu living,,Apartament cu 3 camere,6.0,Euroreparație,,,175 m²,,350000
,Agenție,2,143,,,8,Secundar,1,250 cm,,Deschis,Apartament cu 3 camere,9.0,Reparație cosmetică,9 m²,45 m²,70 m²,Panou,55000
,Dezvoltator imobiliar,1,,,,1,Construcţii noi,1,290 cm,,Subterană,Apartament cu 1 cameră,4.0,Variantă albă,,,37 m²,,43296
,Dezvoltator imobiliar,,,,Estate Invest Company,5,Construcţii noi,1,,,Subterană,Apartament cu 2 camere,12.0,Variantă albă,,,59 m²,,59590
Se acceptă animale,Agenție,1,,Se acceptă copii,,8,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 4 camere,9.0,Variantă albă,,,162 m²,,162000
,Agenție,1,,,,8,Construcţii noi,1,0 cm,,,Apartament cu 2 camere,13.0,Variantă albă,0 m²,0 m²,72 m²,,115200
,Agenție,,,,,6,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,11.0,Variantă albă,,,36 m²,,69000
,Persoană fizică,,,,,10,Construcţii noi,,0 cm,,,Apartament cu 1 cameră,10.0,Euroreparație,0 m²,0 m²,45 m²,,115000
,Agenție,,Individuală,,Exfactor-grup,16,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 3 camere,18.0,Euroreparație,,,100 m²,Combinat,205900
,Agenție,,,,,9,Construcţii noi,2,,,,Apartament cu 3 camere,9.0,Euroreparație,,,94 m²,,219000
,Persoană fizică,Nu,Individuală,,,1,Secundar,1,2 cm,Apartament cu living,Deschis,Apartament cu 5 camere sau mai multe,5.0,Design individual,10 m²,117 m²,117 m²,Bloc,83000
,Agenție,1,,,,5,Secundar,1,0 cm,Apartament cu living,,Apartament cu 2 camere,5.0,Euroreparație,0 m²,0 m²,56 m²,,115000
,Dezvoltator imobiliar,1,,,,8,Construcţii noi,3,,Apartament cu living,,Apartament cu 2 camere,9.0,Variantă albă,,,114 m²,,126496
,Agenție,1,,,,1,Secundar,1,,,Deschis,O cameră,5.0,Euroreparație,,,13 m²,Cotileț,25500
,Dezvoltator imobiliar,,,,,2,Construcţii noi,1,,,Subterană,Apartament cu 1 cameră,5.0,Variantă albă,,,22 m²,Cărămidă,31680
,Agenție,2,,,Reconscivil,1,Construcţii noi,2,,,Deschis,Apartament cu 3 camere,14.0,Euroreparație,,,100 m²,,209900
,Agenție,,,,,8,Construcţii noi,,,,,Apartament cu 1 cameră,11.0,Variantă albă,,,40 m²,Cărămidă,95000
,Agenție,1,Individuală,,Sky House,3,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,10.0,Variantă albă,,,59 m²,Cărămidă,113900
,Agenție,,,,,15,Construcţii noi,2,,,,Apartament cu 2 camere,18.0,Variantă albă,,,100 m²,Cărămidă,160000
,Agenție,1,,,,3,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 3 camere,9.0,Euroreparație,,,90 m²,,250000
,Agenție,1,Individuală,,,5,Secundar,1,,,Deschis,Apartament cu 2 camere,5.0,Reparație cosmetică,,,52 m²,Cotileț,59900
,Agenție,2,Individuală,,,6,Secundar,1,,,,Apartament cu 3 camere,9.0,Reparație cosmetică,,,70 m²,,99000
,Agenție,,,,,5,Construcţii noi,,,Apartament cu living,,Apartament cu 3 camere,10.0,Euroreparație,,,90 m²,,225000
,Agenție,1,Individuală,,,2,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 2 camere,9.0,Euroreparație,,,80 m²,,156800
,Agenție,1,,,,8,Secundar,2,,,,Apartament cu 2 camere,9.0,Euroreparație,,,55 m²,,90000
,Persoană fizică,1,Individuală,,,4,Secundar,1,270 cm,,,Apartament cu 2 camere,4.0,Euroreparație,,,50 m²,Cotileț,50000
,Persoană fizică,1,,,,4,Secundar,,0 cm,,,Apartament cu 3 camere,4.0,,0 m²,0 m²,58 m²,Cărămidă,59999
,Agenție,2,Individuală,,,11,Secundar,1,,,Deschis,Apartament cu 2 camere,13.0,Euroreparație,,,60 m²,Combinat,135900
,Agenție,1,,,,3,Construcţii noi,1,,,,Apartament cu 2 camere,9.0,Euroreparație,,,73 m²,,165000
,Persoană fizică,,,,,1,Secundar,1,,Apartament cu living,Deschis,Apartament cu 2 camere,5.0,Euroreparație,,,43 m²,Cotileț,87900
,Agenție,2,Individuală,,,4,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,5.0,Euroreparație,,,122 m²,Combinat,114000
,Persoană fizică,1,,,,5,Secundar,,0 cm,,Deschis,Apartament cu 2 camere,6.0,,0 m²,0 m²,51 m²,Cotileț,95000
,Persoană fizică,1,Individuală,Se acceptă copii,Dansicons,2,Construcţii noi,2,270 cm,Apartament cu living,Deschis,Apartament cu 1 cameră,12.0,Euroreparație,14 m²,57 m²,57 m²,Combinat,107000
,Agenție,,Garsonieră,,,4,Secundar,,,,Deschis,Apartament cu 1 cameră,14.0,Reparație cosmetică,,,27 m²,,47000
,Dezvoltator imobiliar,,,,,9,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,11.0,,,,65 m²,,183900
,Dezvoltator imobiliar,,,,Estate Invest Company,2,Construcţii noi,,,Apartament cu living,Subterană,Apartament cu 3 camere,6.0,Construcție nefinisată,,,87 m²,Cărămidă,111360
,Persoană fizică,,,,,4,Secundar,,,,,Apartament cu 3 camere,5.0,,,,72 m²,,57600
,Agenție,1,,,,2,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,15.0,Variantă albă,,,44 m²,,72950
,Agenție,1,Individuală,,Volare Tur,9,Construcţii noi,1,280 cm,Apartament cu living,,Apartament cu 2 camere,9.0,Euroreparație,15 m²,69 m²,69 m²,Combinat,150000
,Agenție,,,,,9,Construcţii noi,,,,,Apartament cu 1 cameră,10.0,Variantă albă,,,48 m²,Cărămidă,79900
Se acceptă animale,Agenție,1,102,Se acceptă copii,,1,Secundar,2,250 cm,,Deschis,Apartament cu 3 camere,5.0,Reparație cosmetică,12 m²,81 m²,93 m²,Cotileț,102000
,Dezvoltator imobiliar,,,,,1,Secundar,,0 cm,,,Apartament cu 1 cameră,1.0,,0 m²,0 m²,30 m²,,71900
,Agenție,1,,,,5,Construcţii noi,1,,Apartament cu living,Subterană,Apartament cu 1 cameră,9.0,Variantă albă,,,44 m²,,119900
,Agenție,,,,,1,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 3 camere,9.0,Euroreparație,,,94 m²,,229000
,Agenție,1,,,,12,Secundar,2,,,,Apartament cu 3 camere,13.0,Euroreparație,,,87 m²,Panou,118900
,Persoană fizică,,Individuală,,Exfactor-grup,8,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,10.0,Euroreparație,,49 m²,49 m²,,124000
,Agenție,1,,,,1,Construcţii noi,1,,Apartament fără living,Deschis,Apartament cu 2 camere,5.0,Euroreparație,,,53 m²,,121900
,Persoană fizică,,Individuală,,,6,Construcţii noi,1,,,Subterană,Apartament cu 2 camere,10.0,Euroreparație,,80 m²,80 m²,Bloc,285000
,Agenție,1,,,Inamstro,2,Construcţii noi,1,0 cm,Apartament cu living,,Apartament cu 2 camere,5.0,Euroreparație,0 m²,0 m²,74 m²,Cărămidă,110000
,Dezvoltator imobiliar,,,,,5,Construcţii noi,,0 cm,,,Apartament cu 2 camere,10.0,,0 m²,0 m²,52 m²,,100000
,Agenție,1,,,,7,Construcţii noi,1,0 cm,,Subterană,Apartament cu 2 camere,17.0,Variantă albă,0 m²,0 m²,70 m²,Combinat,94500
,Agenție,,,,,6,Construcţii noi,,,,,Apartament cu 1 cameră,11.0,Euroreparație,,,43 m²,Cărămidă,93500
,Agenție,1,Brj (Brejnevka),,,5,Secundar,2,,,Deschis,Apartament cu 3 camere,5.0,Reparație cosmetică,,,71 m²,Cotileț,78000
,Agenție,1,Individuală,,,3,Construcţii noi,2,,,Deschis,Apartament cu 2 camere,9.0,Variantă albă,,,56 m²,,84000
,Agenție,,,,,1,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,16.0,,,,33 m²,,74000
,Agenție,1,,,,7,Secundar,2,,,Deschis,Apartament cu 3 camere,9.0,Reparație cosmetică,,,70 m²,,96000
,Persoană fizică,,Pe pămănt,,,1,Construcţii noi,1,300 cm,,,Apartament cu 2 camere,1.0,Design individual,,,60 m²,Cotileț,109000
