animals,author_of_the_announcement,balcony_loggia,compartmentalization,children,developer,floor,housing_fund,bathroom,ceiling_height,living_room,parking_spot,number_of_rooms,number_of_floors,apartment_condition,kitchen_area,living_area,total_area,building_type,price
,Agenție,1,,,Inamstro,12,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,13.0,Euroreparație,,,45 m²,,99000
Cu acordul stăpânului,Agenție,,Individuală,Cu acordul stăpânului,,3,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,6.0,Euroreparație,,,60 m²,,109900
,Agenție,,,,,5,Construcţii noi,2,,Apartament cu living,,Apartament cu 2 camere,8.0,Euroreparație,,,90 m²,,650000
,Dezvoltator imobiliar,,,,,1,Secundar,,,,,O cameră,9.0,,,,24 m²,,26900
,Persoană fizică,,,,,1,Secundar,,,Apartament fără living,,Apartament cu 2 camere,5.0,Euroreparație,,,52 m²,,50500
,Agenție,1,,,,2,Secundar,1,,,Deschis,Apartament cu 2 camere,5.0,Euroreparație,,,43 m²,,79999
Fără animale,Agenție,1,Individuală,Se acceptă copii,,12,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,13.0,Variantă albă,,,57 m²,,110000
,Agenție,,,,,4,Secundar,,0 cm,,,Apartament cu 1 cameră,9.0,,0 m²,0 m²,35 m²,,37000
,Agenție,,Garsonieră,,,5,Secundar,,,,,O cameră,9.0,Euroreparație,,,19 m²,,26900
,Agenție,,,,,4,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,10.0,,,,53 m²,,119900
,Persoană fizică,1,,,Boiar House,1,Construcţii noi,2,,Apartament fără living,,Apartament cu 4 camere,9.0,Variantă albă,,,100 m²,Combinat,115000
Se acceptă animale,Dezvoltator imobiliar,1,143,Se acceptă copii,,8,Secundar,1,270 cm,,Deschis,Apartament cu 1 cameră,9.0,Reparație cosmetică,12 m²,16 m²,45 m²,Panou,87500
,Agenție,1,,,Lagmar Impex,8,Construcţii noi,2,,,,Apartament cu 2 camere,11.0,Variantă albă,,,68 m²,,87800
,Dezvoltator imobiliar,,,,Lagmar Impex,5,Construcţii noi,,0 cm,,,Apartament cu 3 camere,10.0,Variantă albă,0 m²,0 m²,91 m²,Combinat,98000
,Agenție,,,,,1,Secundar,1,,Apartament fără living,Deschis,Apartament cu 1 cameră,10.0,Reparație cosmetică,,37 m²,37 m²,Cotileț,65500
,Agenție,,,,,1,Secundar,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,1.0,Euroreparație,,,30 m²,,73900
,Agenție,2,,,Pamir Construct,10,Construcţii noi,3,,Apartament cu living,,Apartament cu 3 camere,10.0,Variantă albă,,,178 m²,Beton celular,150000
,Agenție,1,,,,7,Construcţii noi,1,,Apartament cu living,Subterană,Apartament cu 2 camere,9.0,,,,66 m²,,119000
,Agenție,1,,,,9,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,10.0,,,,77 m²,,160000
,Agenție,2,,,,4,Secundar,,,Apartament fără living,,Apartament cu 1 cameră,9.0,Euroreparație,,,42 m²,,45000
,Agenție,1,,,,9,Secundar,2,,Apartament fără living,Deschis,Apartament cu 2 camere,10.0,Reparație cosmetică,,,57 m²,,73500
,Dezvoltator imobiliar,3,,,,7,Construcţii noi,2,3000 cm,Apartament cu living,,Apartament cu 3 camere,17.0,Euroreparație,30 m²,100 m²,107 m²,,298000
Se acceptă animale,Agenție,Nu,,Se acceptă copii,,10,Construcţii noi,2,,Apartament fără living,Deschis,Apartament cu 3 camere,12.0,Euroreparație,,,84 m²,,186000
,Agenție,,,,,11,Construcţii noi,,,,,Apartament cu 2 camere,13.0,,,,66 m²,,122000
,Agenție,3,,,,2,Construcţii noi,1,,,,Apartament cu 2 camere,15.0,Variantă albă,,,80 m²,,124000
Se acceptă animale,Agenție,1,,Se acceptă copii,,2,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,14.0,Euroreparație,,,78 m²,,189900
,Persoană fizică,1,Varț (Varnițkaia),,,1,Secundar,2,11111 cm,,Deschis,Apartament cu 2 camere,9.0,Fără reparație,,,55 m²,Combinat,74900
,Persoană fizică,Nu,Individuală,,,3,Construcţii noi,1,275 cm,Apartament cu living,Subterană,O cameră,4.0,Euroreparație,22 m²,59 m²,59 m²,Cărămidă,129950
Se acceptă animale,Agenție,1,,Se acceptă copii,,5,Construcţii noi,1,,Apartament fără living,Deschis,Apartament cu 2 camere,7.0,Variantă albă,,,64 m²,,107000
,Dezvoltator imobiliar,,,,,6,Secundar,,,Apartament cu living,,Apartament cu 2 camere,10.0,,,,69 m²,,165000
,Agenție,2,Individuală,,Eldorado Terra,5,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 3 camere,17.0,Euroreparație,,,122 m²,,295000
,Agenție,1,,,,2,Secundar,2,,,Deschis,Apartament cu 3 camere,10.0,,,,79 m²,,87000
,Persoană fizică,,Individuală,,Varicom,9,Construcţii noi,1,290 cm,,Deschis,Apartament cu 1 cameră,10.0,Design individual,11 m²,,43 m²,Beton,125000
,Persoană fizică,,,,,2,Secundar,1,255 cm,Apartament cu living,Deschis,Apartament cu 1 cameră,5.0,Design individual,,33 m²,33 m²,Cotileț,68500
,Persoană fizică,,,,,1,Secundar,,,,Deschis,Apartament cu 3 camere,1.0,,,,89 m²,,120000
,Agenție,Nu,Individuală,,AMIC,5,Construcţii noi,1,,Apartament fără living,Deschis,Apartament cu 2 camere,6.0,Euroreparație,,,52 m²,Combinat,117000
,Agenție,1,Individuală,,,6,Secundar,2,,,Sub acoperiș,Apartament cu 2 camere,6.0,Reparație cosmetică,,,75 m²,Cotileț,75000
,Agenție,2,,,Dansicons,8,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 3 camere,9.0,Euroreparație,,,143 m²,,257000
,Agenție,1,,,,9,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 5 camere sau mai multe,9.0,Euroreparație,,,154 m²,Cotileț,225000
,Agenție,1,Brj (Brejnevka),,,5,Secundar,2,,,Deschis,Apartament cu 2 camere,5.0,Reparație cosmetică,,,46 m²,Cotileț,75000
,Persoană fizică,,,,,4,Secundar,,,,,Apartament cu 3 camere,5.0,,,60 m²,60 m²,,98000
,Agenție,,Hruşciovka,,,1,Secundar,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,5.0,Euroreparație,,,33 m²,,77000
Fără animale,Agenție,1,Individuală,Se acceptă copii,,3,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,7.0,Euroreparație,,,63 m²,,159000
,Persoană fizică,1,,,,3,Secundar,1,,,Deschis,Apartament cu 2 camere,8.0,Reparație cosmetică,,,48 m²,Cotileț,84000
,Dezvoltator imobiliar,,,,,2,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,8.0,Variantă albă,,,52 m²,,65000
,Dezvoltator imobiliar,,,,Solomon Construct Imobil,7,Construcţii noi,,,,,Apartament cu 2 camere,12.0,,,,69 m²,,94530
,Persoană fizică,,,,,5,Secundar,,,,,Apartament cu 2 camere,5.0,,,47 m²,47 m²,,29500
,Agenție,1,,,,5,Construcţii noi,2,,,Deschis,Apartament cu 3 camere,6.0,Reparație cosmetică,,88 m²,88 m²,Cotileț,120000
,Agenție,,,,,9,Construcţii noi,1,,,,Apartament cu 1 cameră,16.0,Variantă albă,,,43 m²,,70000
,Persoană fizică,1,Individuală,,Lagmar Impex,7,Construcţii noi,1,2800 cm,,,Apartament cu 2 camere,9.0,Variantă albă,,,57 m²,Combinat,67600
,Agenție,1,,,Exfactor-grup,7,Construcţii noi,2,,Apartament cu living,,Apartament cu 4 camere,10.0,Euroreparație,,,80 m²,,174900
,Agenție,,,,,7,Construcţii noi,,,,,Apartament cu 3 camere,9.0,,,,81 m²,,168900
,Agenție,,,,,2,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,6.0,,,,48 m²,,97900
,Agenție,1,,,Sky House,9,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,9.0,Euroreparație,,,37 m²,Cărămidă,71900
,Dezvoltator imobiliar,3,,,,3,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 2 camere,10.0,Euroreparație,,,90 m²,,135900
,Dezvoltator imobiliar,,,,Inamstro,4,Construcţii noi,1,,Apartament cu living,Subterană,Apartament cu 2 camere,8.0,Euroreparație,12 m²,,63 m²,,235000
,Dezvoltator imobiliar,,,,,5,Construcţii noi,,,,,Apartament cu 1 cameră,7.0,,,,20 m²,,29500
,Agenție,2,,,Inamstro,6,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 2 camere,6.0,Euroreparație,,,150 m²,,650000
,Persoană fizică,,,,,9,Secundar,,,,,Apartament cu 4 camere,16.0,Euroreparație,,,102 m²,,160000
,Agenție,Nu,Individuală,,Inamstro,2,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,10.0,Construcție nefinisată,,,54 m²,Combinat,94765
,Agenție,1,,,,3,Secundar,1,,,Deschis,Apartament cu 3 camere,5.0,Variantă albă,,,48 m²,Panou,72900
,Agenție,1,Hruşciovka,,,5,Secundar,1,,,,Apartament cu 2 camere,5.0,,,,45 m²,Cotileț,95000
,Agenție,1,Individuală,,Braus Imobiliare,1,Secundar,2,,,Subterană,Apartament cu 3 camere,9.0,Variantă albă,,,97 m²,Panou,135000
,Agenție,,143,,,8,Secundar,,,Apartament cu living,,Apartament cu 4 camere,10.0,Euroreparație,,,139 m²,,119900
,Dezvoltator imobiliar,,,,,5,Secundar,,0 cm,,,Apartament cu 1 cameră,5.0,,0 m²,0 m²,30 m²,,53900
,Agenție,1,,,,6,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,9.0,Variantă albă,,,65 m²,Cărămidă,73600
,Persoană fizică,,,,,7,Construcţii noi,,0 cm,Apartament cu living,,Apartament cu 1 cameră,11.0,,0 m²,0 m²,47 m²,,115000
,Agenție,1,Individuală,,Lagmar Impex,3,Construcţii noi,2,,,Deschis,Apartament cu 2 camere,9.0,Construcție nefinisată,,,57 m²,Beton celular,84500
,Agenție,,,,,4,Secundar,,,,,Apartament cu 1 cameră,9.0,,,,35 m²,,37000
,Agenție,1,,,,8,Secundar,2,,Apartament cu living,Deschis,Apartament cu 2 camere,9.0,Euroreparație,,,60 m²,,127900
,Agenție,,Individuală,,,1,Construcţii noi,1,0 cm,,Subterană,Apartament cu 2 camere,4.0,Construcție nefinisată,0 m²,0 m²,62 m²,,114500
