animals,author_of_the_announcement,balcony_loggia,compartmentalization,children,developer,floor,housing_fund,bathroom,ceiling_height,living_room,parking_spot,number_of_rooms,number_of_floors,apartment_condition,kitchen_area,living_area,total_area,building_type,price,region,is_penthouse
,Agenție,1,Individuală,,,12.0,Construcţii noi,2.0,,Apartament cu living,Deschis,3,12.0,Variantă albă,,,84,,99800,Chișinău_Telecentru,0
,Agenție,,Individuală,,,3.0,Construcţii noi,1.0,0.0,Apartament cu living,,2,7.0,Euroreparație,0 m²,0 m²,50,,115000,Dumbrava_Centru,0
,Dezvoltator imobiliar,,Individuală,,,5.0,Secundar,1.0,,,,3,10.0,,,,63,,114900,Chișinău_Botanica,0
,Persoană fizică,1,Individuală,,Basconslux,4.0,Construcţii noi,1.0,0.03,Apartament fără living,Subterană,2,15.0,Euroreparație,20 m²,50 m²,55,Monolit,109990,Chișinău_Buiucani,0
,Agenție,1,Individuală,,Sky House,9.0,Secundar,1.0,,,Deschis,3,9.0,Euroreparație,,,57,,108000,Chișinău_Botanica,0
,Agenție,1,Individuală,,,9.0,Construcţii noi,1.0,,Apartament cu living,,3,10.0,,,,70,,159900,Chișinău_Râșcani,0
,Dezvoltator imobiliar,1,Individuală,,,5.0,Secundar,1.0,0.0,Apartament cu living,,3,5.0,Euroreparație,0 m²,0 m²,42,Cotileț,95000,Chișinău_Centru,0
Se acceptă animale,Agenție,2,Individuală,Se acceptă copii,,8.0,Construcţii noi,2.0,,Apartament cu living,Deschis,3,8.0,Euroreparație,,,112,,170000,Ialoveni_Centru,0
,Dezvoltator imobiliar,,Individuală,,,3.0,Construcţii noi,1.0,0.0,Apartament cu living,,4,6.0,,0 m²,0 m²,100,,279900,Chișinău_Centru,0
,Dezvoltator imobiliar,,Individuală,,,17.0,Construcţii noi,1.0,,Apartament cu living,,2,19.0,Design individual,,,70,,245000,Chișinău_Centru,0
,Persoană fizică,,Individuală,,Exfactor-grup,6.0,Construcţii noi,2.0,,Apartament cu living,,2,9.0,Dat în exploatare,,52 m²,52,Cărămidă,95000,Chișinău_Buiucani,0
,Agenție,1,Individuală,,,9.0,Construcţii noi,2.0,,,Deschis,3,13.0,Euroreparație,,,64,,142000,Chișinău_Botanica,0
,Agenție,,Individuală,,,1.0,Secundar,1.0,,Apartament cu living,Deschis,3,5.0,Euroreparație,,,42,,95000,Chișinău_Telecentru,0
,Dezvoltator imobiliar,1,Individuală,,,1.0,Construcţii noi,1.0,2.7,Apartament cu living,Deschis,4,10.0,Variantă albă,,,77,Monolit,76843,Ungheni_Centru,0
,Agenție,2,Individuală,,Eldorado Terra,15.0,Construcţii noi,1.0,,,Subterană,3,17.0,Design individual,,,74,Combinat,220000,Chișinău_Râșcani,0
,Persoană fizică,2,Individuală,,,10.0,Construcţii noi,1.0,,Apartament cu living,,4,10.0,Euroreparație,,,118,Combinat,259600,Chișinău_Râșcani,0
,Agenție,1,Individuală,,Inamstro,10.0,Construcţii noi,1.0,,Apartament cu living,Deschis,2,10.0,Euroreparație,,,93,,209999,Chișinău_Buiucani,0
,Agenție,1,Individuală,,,2.0,Construcţii noi,1.0,,,,3,14.0,Variantă sură,,,78,,62400,Chișinău_Botanica,0
,Persoană fizică,Nu,Individuală,,,1.0,Secundar,2.0,32.0,Apartament fără living,Deschis,4,3.0,Fără reparație,7 m²,45 m²,70,Cotileț,52000,Bălți_Centru,0
,Agenție,,Individuală,,Lagmar Impex,12.0,Construcţii noi,1.0,0.0,Apartament cu living,,4,12.0,,0 m²,0 m²,90,,108000,Chișinău_Râșcani,0
,Persoană fizică,Nu,Individuală,,,1.0,Construcţii noi,2.0,3.0,Apartament cu living,Subterană,2,9.0,Design individual,45 m²,80 m²,80,Monolit,275000,Chișinău_Centru,0
,Dezvoltator imobiliar,,Individuală,,,3.0,Secundar,1.0,0.0,Apartament cu living,,2,11.0,,0 m²,0 m²,50,,145000,Chișinău_Buiucani,0
,Agenție,1,Individuală,,,8.0,Construcţii noi,2.0,,,Deschis,3,9.0,Variantă albă,,,63,,84900,Chișinău_Telecentru,0
,Dezvoltator imobiliar,2,Individuală,,,3.0,Construcţii noi,1.0,2.75,Apartament cu living,Subterană,3,9.0,,,,67,Cărămidă,89100,Chișinău_Botanica,0
,Agenție,1,Individuală,,Exfactor-grup,8.0,Construcţii noi,1.0,,,Subterană,3,9.0,Euroreparație,,,48,,135000,Chișinău_Ciocana,0
,Agenție,2,Individuală,,,6.0,Construcţii noi,2.0,,,Subterană,4,10.0,Variantă albă,,,107,,210000,Chișinău_Buiucani,0
,Agenție,1,Individuală,,,3.0,Secundar,1.0,,Apartament cu living,Deschis,3,5.0,Euroreparație,,,43,,92500,Chișinău_Buiucani,0
,Agenție,2,Individuală,,,7.0,Construcţii noi,2.0,,Apartament cu living,Deschis,4,12.0,Euroreparație,,,91,,245000,Chișinău_Ciocana,0
,Agenție,,Individuală,,,5.0,Secundar,1.0,,,,2,5.0,Euroreparație,,,22,Cotileț,39900,Chișinău_Buiucani,0
