animals,author_of_the_announcement,balcony_loggia,compartmentalization,children,developer,floor,housing_fund,bathroom,ceiling_height,living_room,parking_spot,number_of_rooms,number_of_floors,apartment_condition,kitchen_area,living_area,total_area,building_type,price,region,is_penthouse
,Dezvoltator imobiliar,,Individuală,,,7.0,Secundar,1.0,,Apartament cu living,,2,9.0,,,,35,,79900,Chișinău_Botanica,0
Se acceptă animale,Persoană fizică,Nu,Individuală,Se acceptă copii,,5.0,Secundar,1.0,25.0,Apartament cu living,Deschis,3,5.0,Euroreparație,18 m²,40 m²,48,Panou,62999,Chișinău_Aeroport,0
,Dezvoltator imobiliar,,Individuală,,,2.0,Construcţii noi,1.0,,,Sub acoperiș,4,6.0,Variantă albă,,,88,Cotileț,242000,Chișinău_Telecentru,0
,Agenție,,St (Stalinka),,,2.0,Secundar,1.0,,,,3,2.0,Euroreparație,,,50,Cotileț,92900,Chișinău_Râșcani,0
,Dezvoltator imobiliar,,Individuală,,,1.0,Secundar,1.0,0.0,,,4,1.0,,0 m²,0 m²,42,,64900,Chișinău_Centru,0
,Persoană fizică,,Individuală,,Lagmar Impex,5.0,Construcţii noi,1.0,2.7,,,2,12.0,,13 m²,40 m²,40,Cărămidă,123000,Chișinău_Centru,0
,Agenție,1,Individuală,,,4.0,Secundar,1.0,,Apartament cu living,Deschis,4,5.0,,,68 m²,68,,88000,Chișinău_Botanica,0
,Agenție,,Individuală,,,2.0,Construcţii noi,1.0,,,,3,9.0,Variantă albă,,,71,,92300,Chișinău_Telecentru,0
,Agenție,,Individuală,,,5.0,Secundar,1.0,0.0,,,2,5.0,,0 m²,0 m²,30,,55000,Chișinău_Buiucani,0
,Agenție,Nu,Individuală,,,4.0,Construcţii noi,1.0,,Apartament cu living,Deschis,3,6.0,Euroreparație,,,65,,137000,Dumbrava_Centru,0
,Agenție,,Individuală,,,2.0,Construcţii noi,1.0,,,,3,5.0,Euroreparație,,,65,,135900,Chișinău_Poșta Veche,0
,Agenție,1,Ms (serie  moldovenească),,,6.0,Secundar,2.0,,,Deschis,4,10.0,Euroreparație,,,75,,129500,Chișinău_Ciocana,0
,Dezvoltator imobiliar,,Individuală,,Exfactor-grup,8.0,Construcţii noi,2.0,,Apartament cu living,,2,10.0,Euroreparație,,,48,,124500,Chișinău_Ciocana,0
,Persoană fizică,,Individuală,,,4.0,Secundar,1.0,,,,4,5.0,,,60 m²,60,,98000,Chișinău_Botanica,0
,Persoană fizică,2,Individuală,,,3.0,Construcţii noi,1.0,,Apartament cu living,,3,9.0,Variantă sură,,,77,,119000,Chișinău_Ciocana,0
,Agenție,3,Individuală,,,5.0,Construcţii noi,2.0,,,,4,7.0,Variantă albă,,,105,,82532,Bălți_10 cartier,0
,Dezvoltator imobiliar,2,Individuală,,,3.0,Construcţii noi,1.0,2.75,,Subterană,2,9.0,Variantă albă,,,49,Cărămidă,67600,Chișinău_Botanica,0
,Persoană fizică,1,Rubaşka,,,4.0,Secundar,1.0,2.5,,,3,5.0,Reparație cosmetică,6 m²,27 m²,44,Cotileț,45000,Bubuieci_Centru,0
,Agenție,1,Individuală,,,9.0,Construcţii noi,1.0,,,,3,10.0,Euroreparație,,,70,,159000,Chișinău_Râșcani,0
,Persoană fizică,,Individuală,,,2.0,Construcţii noi,1.0,,Apartament cu living,Deschis,2,5.0,Euroreparație,,,45,,72500,Chișinău_Durlești,0
,Agenție,1,Individuală,,,2.0,Secundar,1.0,27.0,,Deschis,4,2.0,Reparație cosmetică,12 m²,68 m²,68,Bloc,25500,Bălți_Molodova,0
,Agenție,,Individuală,,,8.0,Construcţii noi,1.0,,,,3,10.0,,,,55,,130000,Chișinău_Buiucani,0
,Persoană fizică,1,Individuală,,Dansicons,3.0,Construcţii noi,1.0,2.9,,,3,11.0,Euroreparație,,,85,,175000,Chișinău_Centru,0
,Persoană fizică,Nu,Individuală,,,9.0,Construcţii noi,1.0,0.0,,,2,11.0,Euroreparație,0 m²,0 m²,52,,105000,Chișinău_Telecentru,0
,Agenție,,Individuală,,,1.0,Construcţii noi,1.0,,,,2,9.0,,,,42,,99999,Chișinău_Durlești,0
,Agenție,1,Individuală,,,4.0,Secundar,1.0,,Apartament cu living,Deschis,3,4.0,Euroreparație,,41 m²,41,Cotileț,36000,Bălți_8 cartier,0
,Agenție,1,Individuală,,,2.0,Secundar,1.0,,,,3,5.0,Euroreparație,,,52,,110000,Chișinău_Botanica,0
,Agenție,1,Individuală,,Lagmar Impex,3.0,Construcţii noi,2.0,0.0,Apartament cu living,,3,10.0,Euroreparație,0 m²,0 m²,70,,159900,Chișinău_Telecentru,0
,Dezvoltator imobiliar,,Individuală,,,9.0,Construcţii noi,1.0,,,,4,13.0,,,,103,,120500,Chișinău_Poșta Veche,0
,Agenție,,Individuală,,,5.0,Construcţii noi,1.0,,Apartament cu living,,4,15.0,,,,78,,86053,Chișinău_Poșta Veche,0
,Agenție,,Individuală,,,4.0,Secundar,1.0,,,,2,5.0,Reparație cosmetică,,,22,,37900,Chișinău_Ciocana,0
,Dezvoltator imobiliar,Nu,Individuală,,,3.0,Construcţii noi,1.0,0.0,,Garaj,4,4.0,Variantă albă,0 m²,0 m²,76,Monolit,122560,Chișinău_Telecentru,0
,Agenție,Nu,Individuală,,Kirsan,15.0,Construcţii noi,1.0,,,Deschis,3,18.0,Euroreparație,,,48,,92000,Chișinău_Botanica,0
,Agenție,1,Individuală,,,10.0,Construcţii noi,2.0,,,Deschis,3,15.0,Variantă albă,,,69,,121000,Chișinău_Centru,0
,Agenție,,Individuală,,,2.0,Secundar,1.0,,,,4,10.0,Euroreparație,,,79,,87000,Chișinău_Ciocana,0
,Agenție,1,Individuală,,,2.0,Secundar,1.0,,Apartament cu living,Deschis,2,5.0,Euroreparație,,,33,,73900,Chișinău_Telecentru,0
,Persoană fizică,,Individuală,,,6.0,Secundar,1.0,,Apartament cu living,,2,6.0,,,,48,,80900,Chișinău_Botanica,0
,Agenție,1,Individuală,,,5.0,Secundar,2.0,,,Deschis,3,15.0,Variantă albă,,,82,,126000,Chișinău_Centru,0
,Dezvoltator imobiliar,,Individuală,,,3.0,Construcţii noi,1.0,,Apartament cu living,Garaj,3,6.0,Variantă albă,26 m²,64 m²,64,Monolit,66800,Cricova_Centru,0
,Agenție,1,Individuală,,,4.0,Construcţii noi,2.0,,,Subterană,3,13.0,Variantă albă,,,75,Cărămidă,188500,Chișinău_Centru,0
,Agenție,1,Individuală,,Exfactor-grup,1.0,Construcţii noi,2.0,,Apartament cu living,Subterană,4,10.0,Euroreparație,,,86,Cărămidă,179000,Chișinău_Buiucani,0
,Agenție,,Individuală,,,6.0,Construcţii noi,1.0,,,,4,10.0,Variantă albă,,,74,,96416,Chișinău_Telecentru,0
,Agenție,,Individuală,,Lagmar Impex,9.0,Construcţii noi,1.0,,Apartament cu living,,4,14.0,Euroreparație,,,76,,245000,Chișinău_Centru,0
,Agenție,3,143,,,9.0,Secundar,1.0,,Apartament cu living,Deschis,4,10.0,Reparație cosmetică,,,74,,104900,Chișinău_Ciocana,0
,Agenție,,Individuală,,,2.0,Secundar,1.0,,Apartament cu living,,4,5.0,Euroreparație,,,74,,87500,Chișinău_Botanica,0
,Agenție,1,Individuală,,,2.0,Construcţii noi,2.0,,Apartament cu living,Deschis,4,5.0,Variantă albă,,,82,,100200,Chișinău_Buiucani,0
,Agenție,,Individuală,,,3.0,Construcţii noi,1.0,,,Deschis,3,10.0,Variantă albă,,,56,,72540,Chișinău_Râșcani,0
,Agenție,1,Individuală,,,7.0,Construcţii noi,1.0,,,,2,10.0,Variantă albă,,,57,,69540,Chișinău_Telecentru,0
,Agenție,1,Individuală,,,2.0,Secundar,1.0,,,Deschis,3,5.0,Euroreparație,,,47,,77500,Chișinău_Botanica,0
,Agenție,1,Individuală,,Varicom,7.0,Construcţii noi,1.0,,Apartament cu living,Deschis,3,10.0,Euroreparație,,,72,,169900,Chișinău_Râșcani,0
,Agenție,2,102,,,4.0,Secundar,1.0,,,Deschis,5,5.0,Euroreparație,12 m²,45 m²,85,Cotileț,175000,Chișinău_Telecentru,0
,Agenție,Nu,Individuală,,,3.0,Construcţii noi,1.0,,,Deschis,2,10.0,Euroreparație,,,42,,98000,Chișinău_Ciocana,0
,Agenție,1,Individuală,,,8.0,Construcţii noi,2.0,,,Deschis,3,14.0,Euroreparație,,,70,,205000,Chișinău_Centru,0
,Agenție,1,Individuală,,,2.0,Construcţii noi,1.0,,,Deschis,3,4.0,Euroreparație,,,100,,170000,Chișinău_Buiucani,0
,Agenție,2,Individuală,,,4.0,Construcţii noi,1.0,,,Garaj,3,7.0,Euroreparație,,,62,,118000,Chișinău_Durlești,0
,Agenție,1,Brj (Brejnevka),,,5.0,Secundar,1.0,,,,2,5.0,Reparație cosmetică,,,36,Cotileț,58900,Chișinău_Râșcani,0
,Agenție,1,Individuală,,,4.0,Secundar,1.0,,,Deschis,3,5.0,Euroreparație,,,45,,85000,Chișinău_Telecentru,0
,Agenție,1,Individuală,,Eldorado Terra,16.0,Construcţii noi,1.0,,Apartament cu living,Subterană,4,18.0,Variantă albă,,,140,,280000,Chișinău_Râșcani,0
,Agenție,1,Individuală,,,2.0,Secundar,1.0,,,Deschis,3,9.0,Euroreparație,,,52,,88000,Chișinău_Poșta Veche,0
,Agenție,1,Individuală,,,4.0,Construcţii noi,2.0,0.0,,,3,8.0,Variantă albă,0 m²,0 m²,67,,112000,Chișinău_Buiucani,0
,Agenție,1,Individuală,,,2.0,Secundar,1.0,,,,3,5.0,,,,48,,86700,Chișinău_Botanica,0
,Agenție,,Individuală,,,6.0,Secundar,1.0,,Apartament cu living,,3,9.0,,,,95,,102000,Chișinău_Ciocana,0
,Dezvoltator imobiliar,1,Individuală,,Exfactor-grup,12.0,Construcţii noi,1.0,,Apartament cu living,Subterană,3,12.0,Euroreparație,,,65,Cărămidă,180000,Chișinău_Ciocana,0
,Persoană fizică,2,Individuală,,,3.0,Construcţii noi,1.0,30.0,,Deschis,2,4.0,Euroreparație,18 m²,,79,Cotileț,123500,Chișinău_Buiucani,0
,Persoană fizică,,Individuală,,,13.0,Secundar,1.0,,,,4,16.0,Are nevoie de reparație,,,74,,89000,Chișinău_Centru,0
,Agenție,1,Individuală,,,7.0,Construcţii noi,2.0,,,,4,9.0,Euroreparație,,,78,,175000,Chișinău_Buiucani,0
,Agenție,1,Individuală,,Exfactor-grup,8.0,Construcţii noi,2.0,,Apartament cu living,Subterană,3,10.0,Euroreparație,,,53,Combinat,127900,Chișinău_Buiucani,0
,Dezvoltator imobiliar,1,Individuală,,Lagmar Impex,3.0,Construcţii noi,1.0,0.0,Apartament cu living,,2,9.0,Variantă albă,0 m²,0 m²,50,Cărămidă,72000,Chișinău_Râșcani,0
,Agenție,1,Individuală,,,3.0,Construcţii noi,2.0,,,Deschis,3,6.0,Variantă albă,,,68,Cărămidă,64000,Orhei_Periferie,0
,Dezvoltator imobiliar,1,Individuală,,Sky House,4.0,Construcţii noi,1.0,,,Deschis,2,10.0,Euroreparație,,,32,Cărămidă,64000,Chișinău_Botanica,0
,Dezvoltator imobiliar,,Individuală,,Element Stil,1.0,Construcţii noi,1.0,3.0,Apartament cu living,Subterană,2,7.0,,0 m²,44 m²,55,Cărămidă,63300,Chișinău_Durlești,0
,Agenție,,Individuală,,,2.0,Construcţii noi,1.0,,,,3,5.0,,,,47,,86700,Chișinău_Botanica,0
,Agenție,1,Individuală,,Lagmar Impex,3.0,Construcţii noi,2.0,,,Deschis,3,9.0,Construcție nefinisată,,,57,Beton celular,84500,Chișinău_Telecentru,0
,Persoană fizică,1,Individuală,,,9.0,Construcţii noi,1.0,,Apartament cu living,Subterană,3,9.0,Euroreparație,,,89,,230000,Chișinău_Centru,0
,Agenție,2,Individuală,,,8.0,Construcţii noi,2.0,,,Deschis,4,16.0,Variantă albă,,,100,Combinat,123900,Chișinău_Ciocana,0
,Agenție,Nu,Individuală,,,7.0,Construcţii noi,1.0,,Apartament cu living,Deschis,3,9.0,Euroreparație,,,68,Cărămidă,165000,Chișinău_Buiucani,0
,Agenție,1,Individuală,,,9.0,Construcţii noi,1.0,,Apartament cu living,Subterană,2,10.0,Variantă albă,,,33,Combinat,45500,Chișinău_Botanica,0
,Agenție,,Individuală,,,1.0,Construcţii noi,1.0,0.0,Apartament cu living,,3,10.0,Euroreparație,0 m²,0 m²,75,,75000,Chișinău_Poșta Veche,0
,Agenție,1,Individuală,,Exfactor-grup,3.0,Construcţii noi,2.0,,,Deschis,3,15.0,Variantă albă,,,77,,157300,Chișinău_Buiucani,0
,Agenție,2,Individuală,,,7.0,Construcţii noi,1.0,,,Deschis,2,14.0,Euroreparație,,,47,Combinat,108900,Chișinău_Centru,0
,Persoană fizică,2,Individuală,,Boiar House,2.0,Construcţii noi,2.0,2.6,Apartament cu living,,4,10.0,Variantă albă,13 m²,,100,Combinat,119000,Chișinău_Durlești,0
,Agenție,1,Individuală,,Inamstro,8.0,Construcţii noi,1.0,,,Deschis,4,14.0,Variantă albă,,,117,Combinat,221900,Chișinău_Ciocana,0
,Agenție,,Individuală,,Exfactor-grup,4.0,Construcţii noi,2.0,,,Subterană,3,9.0,Design individual,,,83,,238000,Chișinău_Botanica,0
,Agenție,,Individuală,,,9.0,Construcţii noi,1.0,,,,2,10.0,Variantă albă,,,47,,74900,Chișinău_Ciocana,0
,Agenție,1,Individuală,,Exfactor-grup,9.0,Construcţii noi,2.0,,Apartament cu living,Subterană,3,10.0,Euroreparație,,,88,Cotileț,209000,Chișinău_Centru,0
,Persoană fizică,Nu,Городской,,Eldorado Terra,8.0,Construcţii noi,2.0,26.5,Apartament cu living,Deschis,2,13.0,Design individual,20 m²,15 m²,41,Combinat,175000,Chișinău_Centru,0
,Agenție,1,Individuală,,,1.0,Construcţii noi,1.0,,Apartament cu living,,3,4.0,Euroreparație,,,63,,160000,Chișinău_Ciocana,0
,Agenție,,Individuală,,,6.0,Construcţii noi,1.0,,,,3,11.0,,,,62,,119800,Chișinău_Ciocana,0
,Dezvoltator imobiliar,,Individuală,,,2.0,Secundar,1.0,,,,3,2.0,,,,70,,78000,Chișinău_Râșcani,0
,Agenție,Nu,Individuală,,,7.0,Secundar,1.0,,,Deschis,1,9.0,Fără reparație,,,23,,19500,Chișinău_Ciocana,0
,Persoană fizică,1,Individuală,,,2.0,Secundar,1.0,,Apartament cu living,Deschis,3,5.0,Euroreparație,,,66,Cotileț,118900,Chișinău_Buiucani,0
,Persoană fizică,,Individuală,,Exfactor-grup,8.0,Construcţii noi,1.0,,Apartament cu living,,2,10.0,Euroreparație,,49 m²,49,,124000,Chișinău_Centru,0
,Persoană fizică,,Individuală,,Horus,5.0,Construcţii noi,1.0,,Apartament cu living,,3,15.0,Euroreparație,,,86,,188000,Chișinău_Râșcani,0
,Agenție,1,Individuală,,Vlaviocons,3.0,Construcţii noi,1.0,,Apartament cu living,Deschis,4,10.0,Euroreparație,,,88,,215000,Chișinău_Buiucani,0
,Agenție,,Individuală,,,9.0,Construcţii noi,1.0,,Apartament cu living,Deschis,2,15.0,Euroreparație,,52 m²,52,Combinat,126000,Chișinău_Centru,0
,Agenție,2,Individuală,,,5.0,Construcţii noi,1.0,,Apartament cu living,Deschis,3,7.0,Euroreparație,,60 m²,60,Combinat,165000,Chișinău_Centru,0
,Agenție,Nu,Individuală,,,12.0,Construcţii noi,2.0,,,Deschis,3,12.0,Variantă albă,,,89,,89000,Chișinău_Telecentru,0
,Agenție,Nu,Individuală,,Lagmar Impex,5.0,Construcţii noi,1.0,,,Deschis,2,10.0,Construcție nefinisată,,,60,Combinat,72500,Chișinău_Poșta Veche,0
,Agenție,1,Individuală,,,2.0,Secundar,2.0,,Apartament cu living,Deschis,3,8.0,Euroreparație,,60 m²,60,,140000,Chișinău_Centru,0
,Agenție,,Individuală,,,7.0,Construcţii noi,1.0,,Apartament cu living,,4,13.0,Euroreparație,,,91,,245000,Chișinău_Ciocana,0
,Dezvoltator imobiliar,2,Individuală,,Exfactor-grup,9.0,Construcţii noi,2.0,,Apartament cu living,Deschis,3,10.0,Euroreparație,,,76,,189000,Chișinău_Centru,0
,Agenție,1,Individuală,,,14.0,Construcţii noi,1.0,,,,3,14.0,Euroreparație,,,54,,99900,Chișinău_Telecentru,0
,Agenție,,Individuală,,,5.0,Secundar,1.0,0.0,,,4,5.0,,0 m²,0 m²,60,,65000,Bălți_BAM,0
,Persoană fizică,,Individuală,,,6.0,Construcţii noi,1.0,,Apartament cu living,,2,23.0,,,,60,,101900,Chișinău_Râșcani,0
,Agenție,1,Individuală,,,7.0,Secundar,2.0,,Apartament cu living,Deschis,5,20.0,Are nevoie de reparație,12 m²,52 m²,80,Monolit,105900,Chișinău_Râșcani,0
,Persoană fizică,,Individuală,,,6.0,Construcţii noi,1.0,0.0,,,2,10.0,Variantă albă,0 m²,57 m²,57,Cărămidă,67440,Ialoveni_Centru,0
,Agenție,1,Individuală,,,6.0,Construcţii noi,1.0,,,Deschis,4,9.0,Variantă albă,,,93,,149900,Chișinău_Buiucani,0
,Agenție,,St (Stalinka),,,1.0,Secundar,1.0,,,Deschis,3,2.0,Euroreparație,,,47,Cotileț,84000,Chișinău_Centru,0
,Agenție,1,Individuală,,,1.0,Construcţii noi,1.0,,,Deschis,2,6.0,Euroreparație,,,43,Cărămidă,82000,Chișinău_Telecentru,0
,Agenție,,Individuală,,,2.0,Secundar,1.0,,,Deschis,2,5.0,Euroreparație,,,22,Cotileț,28900,Chișinău_Botanica,0
,Persoană fizică,,Individuală,,Basconslux,8.0,Construcţii noi,1.0,,Apartament cu living,,3,11.0,Variantă albă,,,73,,135000,Chișinău_Ciocana,0
,Dezvoltator imobiliar,,Individuală,,,2.0,Secundar,1.0,,,,1,7.0,,,,18,,39900,Chișinău_Buiucani,0
,Dezvoltator imobiliar,,Individuală,,,3.0,Secundar,1.0,0.0,Apartament fără living,,2,5.0,,0 m²,0 m²,24,,36900,Chișinău_Botanica,0
,Persoană fizică,1,Individuală,,Lagmar Impex,2.0,Construcţii noi,1.0,,Apartament cu living,,2,9.0,Variantă albă,,,49,,85000,Chișinău_Centru,0
,Agenție,,Individuală,,,6.0,Construcţii noi,1.0,,Apartament cu living,,3,12.0,Variantă albă,,,56,,78400,Chișinău_Botanica,0
Se acceptă animale,Agenție,1,Individuală,Se acceptă copii,,4.0,Secundar,1.0,,Apartament cu living,,3,5.0,,,,65,,129900,Chișinău_Râșcani,0
,Agenție,1,Individuală,,Vlaviocons,8.0,Construcţii noi,1.0,,,Deschis,3,11.0,Euroreparație,,,64,Combinat,180000,Chișinău_Buiucani,0
,Persoană fizică,,Individuală,,,1.0,Secundar,1.0,0.0,Apartament cu living,,5,5.0,,0 m²,0 m²,90,,21000,Rîșcani_Periferie,0
,Agenție,,Individuală,,,14.0,Construcţii noi,1.0,,Apartament cu living,,2,16.0,Euroreparație,,,53,Cărămidă,135900,Chișinău_Centru,0
,Agenție,,Individuală,,,5.0,Construcţii noi,1.0,,Apartament cu living,,4,17.0,,,,120,,295000,Chișinău_Râșcani,0
,Persoană fizică,2,143,,,4.0,Secundar,2.0,,Apartament cu living,Deschis,4,9.0,Euroreparație,15 m²,84 m²,84,,119990,Chișinău_Centru,0
,Dezvoltator imobiliar,2,Individuală,,Solomon Construct Imobil,6.0,Construcţii noi,2.0,,Apartament cu living,Subterană,3,8.0,Euroreparație,,,75,Cărămidă,159000,Chișinău_Ciocana,0
,Agenție,1,Individuală,,Lagmar Impex,1.0,Construcţii noi,1.0,0.0,,Subterană,2,9.0,Construcție nefinisată,0 m²,0 m²,41,Cărămidă,51250,Chișinău_Telecentru,0
,Agenție,,Individuală,,,1.0,Construcţii noi,1.0,,,,3,10.0,,,,72,,122500,Chișinău_Ciocana,0
,Agenție,Nu,Individuală,,,5.0,Construcţii noi,1.0,,Apartament cu living,Deschis,2,14.0,Euroreparație,,,41,,65000,Stăuceni_Centru,0
,Agenție,,143,,,6.0,Secundar,2.0,,,,3,14.0,Euroreparație,,,51,,100000,Chișinău_Botanica,0
,Agenție,,Individuală,,,1.0,Secundar,1.0,,,Deschis,3,1.0,Fără reparație,,,47,,49900,Chișinău_Centru,0
,Dezvoltator imobiliar,,Individuală,,,2.0,Construcţii noi,1.0,,,,2,10.0,,,,46,,80500,Chișinău_Buiucani,0
,Persoană fizică,2,Individuală,,,5.0,Construcţii noi,1.0,2.8,,Deschis,4,6.0,Euroreparație,18 m²,69 m²,69,Monolit,62990,Bălți_Gara de nord,0
,Dezvoltator imobiliar,,Individuală,,Estate Invest Company,6.0,Construcţii noi,1.0,,,,2,8.0,,,,45,,61336,Chișinău_Durlești,0
,Persoană fizică,,Individuală,,,1.0,Secundar,1.0,,,,1,3.0,,,,27,,20000,Soroca_Periferie,0
,Agenție,,Individuală,,,5.0,Construcţii noi,1.0,,,Subterană,3,15.0,Variantă albă,,58 m²,58,Cărămidă,84100,Chișinău_Râșcani,0
,Agenție,1,Individuală,,,1.0,Secundar,3.0,0.0,,Deschis,4,9.0,Euroreparație,0 m²,0 m²,113,,145900,Chișinău_Botanica,0
,Agenție,,Individuală,,,3.0,Secundar,1.0,,,,1,5.0,,,,15,,27500,Chișinău_Botanica,0
,Agenție,2,Individuală,,AMIC,3.0,Construcţii noi,1.0,,,Deschis,4,6.0,Euroreparație,,,82,Cotileț,133000,Chișinău_Botanica,0
,Agenție,,Individuală,,,2.0,Construcţii noi,1.0,,,,3,11.0,,,,58,,100000,Codru_Centru,0
,Agenție,2,Individuală,,,5.0,Secundar,1.0,,,Deschis,3,5.0,Reparație cosmetică,,,50,,74500,Chișinău_Botanica,0
,Agenție,1,Individuală,,,8.0,Secundar,1.0,,,,3,16.0,,,,58,,73900,Chișinău_Botanica,0
,Persoană fizică,2,102,,,5.0,Secundar,1.0,,,Deschis,3,5.0,Reparație cosmetică,,,50,Cotileț,79500,Chișinău_Botanica,0
,Dezvoltator imobiliar,2,Individuală,,,3.0,Construcţii noi,2.0,,Apartament cu living,Deschis,3,6.0,Variantă albă,,,67,,49900,Bălți_Molodova,0
,Persoană fizică,2,Individuală,,,9.0,Construcţii noi,2.0,2.2,,Deschis,3,10.0,Variantă albă,11 m²,70 m²,77,Cărămidă,120000,Chișinău_Poșta Veche,0
,Agenție,,Individuală,,,7.0,Construcţii noi,1.0,,,,4,9.0,Euroreparație,,,75,,134900,Chișinău_Botanica,0
,Persoană fizică,,Individuală,,,9.0,Construcţii noi,1.0,0.0,Apartament cu living,Deschis,3,10.0,Euroreparație,0 m²,0 m²,60,,155000,Chișinău_Botanica,0
,Agenție,Nu,Individuală,,,9.0,Construcţii noi,1.0,0.0,Apartament cu living,Subterană,3,9.0,Euroreparație,,,90,,215000,Chișinău_Buiucani,0
,Persoană fizică,,Individuală,,,2.0,Secundar,1.0,,,Deschis,2,2.0,Design individual,7 m²,32 m²,3,Beton,27500,Bălți_Gara de nord,0
,Agenție,,Individuală,,,1.0,Secundar,1.0,,,Garaj,4,1.0,Reparație cosmetică,,,63,,87000,Chișinău_Buiucani,0
,Agenție,,Individuală,,,10.0,Construcţii noi,1.0,0.0,Apartament cu living,,4,10.0,Euroreparație,0 m²,0 m²,64,,146900,Chișinău_Telecentru,0
,Persoană fizică,1,Ms (serie  moldovenească),,,5.0,Secundar,2.0,2.5,,,3,5.0,Reparație cosmetică,,,52,,44000,Merenii Noi_Centru,0
,Agenție,1,Individuală,,,1.0,Construcţii noi,2.0,,,,3,1.0,Variantă albă,,,79,,79000,Strășeni_Centru,0
,Agenție,1,Individuală,,,10.0,Construcţii noi,1.0,,Apartament cu living,Deschis,3,11.0,Euroreparație,,,70,Combinat,375000,Chișinău_Centru,0
,Dezvoltator imobiliar,,Individuală,,Dansicons,9.0,Construcţii noi,2.0,2.75,,Deschis,4,10.0,,,3 m²,95,,219000,Chișinău_Ciocana,0
,Dezvoltator imobiliar,3,Individuală,,,3.0,Construcţii noi,2.0,,Apartament cu living,Deschis,3,10.0,Euroreparație,,,90,,135900,Chișinău_Ciocana,0
,Agenție,1,Individuală,,,7.0,Construcţii noi,1.0,,,,3,9.0,Euroreparație,,65 m²,65,Beton celular,131000,Chișinău_Râșcani,0
,Agenție,Nu,Individuală,,,4.0,Construcţii noi,1.0,,,Deschis,2,12.0,Variantă albă,,,61,,152500,Chișinău_Centru,0
,Agenție,,Individuală,,,1.0,Construcţii noi,1.0,,,Deschis,2,1.0,Euroreparație,,,36,,60000,Chișinău_Centru,0
,Agenție,2,102,,,1.0,Secundar,2.0,,,Deschis,5,5.0,Fără reparație,,,87,,100000,Chișinău_Telecentru,0
,Dezvoltator imobiliar,,Individuală,,Dansicons,4.0,Construcţii noi,1.0,,Apartament cu living,,3,15.0,,,,80,,119175,Chișinău_Centru,0
,Persoană fizică,2,Individuală,,,5.0,Secundar,1.0,0.0,Apartament fără living,Deschis,3,5.0,Reparație cosmetică,0 m²,0 m²,51,,20000,Ocnița_Centru,0
,Persoană fizică,1,Individuală,,A-casa,4.0,Construcţii noi,1.0,,Apartament cu living,,3,5.0,Variantă albă,,72 m²,72,,91712,Chișinău_Buiucani,0
,Persoană fizică,1,Individuală,,,5.0,Secundar,1.0,3.2,,Deschis,2,5.0,Euroreparație,,,24,,39900,Chișinău_Buiucani,0
,Persoană fizică,2,Individuală,,,4.0,Secundar,2.0,,,Deschis,5,5.0,Euroreparație,,,102,Cotileț,255000,Chișinău_Centru,0
,Agenție,,Individuală,,,6.0,Construcţii noi,1.0,,,,2,13.0,Variantă sură,,,29,Combinat,32000,Chișinău_Botanica,0
,Agenție,1,Individuală,,,9.0,Construcţii noi,2.0,,,Subterană,4,14.0,Euroreparație,,,77,,245000,Chișinău_Centru,0
,Dezvoltator imobiliar,1,Individuală,,Exfactor-grup,1.0,Construcţii noi,2.0,2.75,,Subterană,3,10.0,Variantă albă,12 m²,33 m²,70,Cărămidă,99400,Chișinău_Ciocana,0
,Agenție,,Individuală,,Estate Invest Company,9.0,Construcţii noi,1.0,,Apartament cu living,Subterană,3,12.0,Euroreparație,,,76,,136000,Chișinău_Telecentru,0
,Agenție,,Individuală,,,7.0,Construcţii noi,1.0,0.0,Apartament cu living,,4,15.0,,0 m²,0 m²,91,,245000,Chișinău_Ciocana,0
,Agenție,,Individuală,,,2.0,Construcţii noi,1.0,,Apartament cu living,,3,16.0,,,,68,,91800,Chișinău_Râșcani,0
,Dezvoltator imobiliar,1,Individuală,,,1.0,Secundar,1.0,,,,3,5.0,,,,65,,82500,Bălți_Molodova,0
,Agenție,1,Individuală,,Basconslux,11.0,Construcţii noi,1.0,,,Subterană,3,12.0,Euroreparație,,,73,Beton celular,169900,Chișinău_Ciocana,0
,Persoană fizică,1,Individuală,,,5.0,Secundar,1.0,,,,2,5.0,,,,35,,43000,Cricova_Centru,0
,Dezvoltator imobiliar,,Individuală,,,2.0,Secundar,1.0,,Apartament cu living,Deschis,4,5.0,Euroreparație,,,50,,110000,Chișinău_Botanica,0
,Agenție,1,Individuală,,,6.0,Construcţii noi,1.0,,,,2,10.0,Euroreparație,,,43,,94500,Chișinău_Ciocana,0
,Agenție,2,135,,,9.0,Secundar,2.0,,,,4,9.0,Reparație cosmetică,,,70,Panou,126000,Chișinău_Sculeni,0
,Agenție,1,Individuală,,,3.0,Construcţii noi,1.0,,,Deschis,3,10.0,Euroreparație,,,54,Cărămidă,134900,Chișinău_Ciocana,0
,Agenție,1,Individuală,,Lagmar Impex,9.0,Construcţii noi,1.0,,Apartament cu living,Deschis,3,15.0,Euroreparație,,,76,,245000,Chișinău_Centru,0
,Agenție,1,Individuală,,,4.0,Construcţii noi,1.0,,Apartament fără living,Deschis,2,15.0,Variantă albă,,,45,,63000,Chișinău_Botanica,0
